inclination_deg,N,spacing_deg,min_coverage,mean_coverage,full_coverage_time_ratio,mean_overlap_ratio,max_gap_time_min
40.25,26,13.846153846153847,0.7223916086849199,0.7341404851821943,0.0,1.8314319405357633,95.50211815557677
40.25,27,13.333333333333334,0.7236693291095051,0.7345676357540574,0.0,1.9296807156272329,95.50211815557677
40.25,28,12.857142857142858,0.7248132071945341,0.7349499604677813,0.0,2.0279742827336102,95.50211815557677
40.25,29,12.413793103448276,0.7258412865041355,0.7352935403745646,0.0,2.126306493542838,95.50211815557677
40.25,30,12.0,0.7267686720394299,0.7356025211161529,0.0,2.2246739149279797,95.50211815557677
40.25,31,11.612903225806452,0.7276080858958014,0.7358838268344151,0.0,2.3230679312985125,95.50211815557677
40.25,32,11.25,0.7284322423991466,0.7361384565144603,0.0,2.4214892829990196,95.50211815557677
40.25,33,10.909090909090908,0.7290645033453144,0.7363702736114028,0.0,2.5199332240766203,95.50211815557677
40.25,34,10.588235294117647,0.7296985366581025,0.7365820111269813,0.0,2.6183973386188404,95.50211815557677
40.25,35,10.285714285714286,0.7302791566222693,0.7367758719647175,0.0,2.7168794320370218,95.50211815557677
40.25,36,10.0,0.73081219492922,0.7369537625322128,0.0,2.815377115327512,95.50211815557677
40.25,37,9.72972972972973,0.7313027090463463,0.7371176182589576,0.0,2.913889325447524,95.50211815557677
40.25,38,9.473684210526315,0.7317551022960198,0.7372686357889564,0.0,3.012414176391273,95.50211815557677
40.25,39,9.23076923076923,0.7321732227669163,0.7374082008230992,0.0,3.110950437753837,95.50211815557677
40.25,40,9.0,0.7327579516402973,0.7375378930229599,0.0,3.209497355035884,95.50211815557677
40.25,41,8.78048780487805,0.7329197392161461,0.7376573662754315,0.0,3.308053023740928,95.50211815557677
40.25,42,8.571428571428571,0.7332537261431465,0.7377688113833822,0.0,3.406617553418705,95.50211815557677
40.25,43,8.372093023255815,0.7335647270152688,0.7378726145759644,0.0,3.505189499234138,95.50211815557677
40.25,44,8.181818181818182,0.7338548028506675,0.7379694053621357,0.0,3.6037685915552284,95.50211815557677
40.25,45,8.0,0.7341257888356342,0.7380597374184655,0.0,3.7023538599061903,95.50211815557677
40.25,46,7.826086956521739,0.7343793233693457,0.7381444299427473,0.0,3.8009452742444663,95.50211815557677
40.25,47,7.659574468085107,0.7346168728437366,0.7382236901233354,0.0,3.8995418822560395,95.50211815557677
40.25,48,7.5,0.7349223473786777,0.738298162546305,0.0,3.998143709390896,95.50211815557677
40.25,49,7.346938775510204,0.7350491464501492,0.7383679108640704,0.0,4.096749388385306,95.50211815557677
40.25,50,7.2,0.7352461197919119,0.7384327397688489,0.0,4.195361320304706,95.50211815557677
40.25,51,7.0588235294117645,0.7354316357796863,0.7384955102291345,0.0,4.293973514389598,95.50211815557677
40.25,52,6.923076923076923,0.7356065658019179,0.7385538635557936,0.0,4.392590987880122,95.50211815557677
40.25,53,6.7924528301886795,0.7357716999777127,0.7386089545296175,0.0,4.491211795051689,95.50211815557677
40.25,54,6.666666666666667,0.7359277560828915,0.7386610002328342,0.0,4.589835702529745,95.50211815557677
40.25,55,6.545454545454546,0.736075387353177,0.7387102485567945,0.0,4.688462247589911,95.50211815557677
40.25,56,6.428571428571429,0.7362354824982811,0.7387568968715914,0.0,4.78709158953119,95.50211815557677
40.25,57,6.315789473684211,0.7363477058340591,0.7388010862000534,0.0,4.885723132070289,95.50211815557677
40.25,58,6.206896551724138,0.7364734343258991,0.7388430233349205,0.0,4.984357044499886,95.50211815557677
40.25,59,6.101694915254237,0.7365928305063807,0.738882846933215,0.0,5.0829930820385965,95.50211815557677
40.25,60,6.0,0.736706312482287,0.7389198113869861,0.0,5.181633060701279,95.50211815557677
40.25,61,5.901639344262295,0.7368142644210294,0.7389567007257514,0.0,5.28027095249341,95.50211815557677
40.25,62,5.806451612903226,0.73691703980304,0.7389909772550409,0.0,5.378912539010815,95.50211815557677
40.25,63,5.714285714285714,0.7370149643163469,0.7390236349734471,0.0,5.4775557645758175,95.50211815557677
40.25,64,5.625,0.7371238813864528,0.7390547845868232,0.0,5.5762003608175705,95.50211815557677
40.25,65,5.538461538461538,0.7371974397378068,0.7390844876452451,0.0,5.674846576649649,95.50211815557677
40.25,66,5.454545454545454,0.7372825249457323,0.7391128609904856,0.0,5.773494134385561,95.50211815557677
40.25,67,5.373134328358209,0.737363831797772,0.739139983085162,0.0,5.8721428542667615,95.50211815557677
40.25,68,5.294117647058823,0.7374415806990423,0.7391659082969079,0.0,5.970792791194736,95.50211815557677
40.25,69,5.217391304347826,0.7375159762174772,0.7391907191369486,0.0,6.069443837143871,95.50211815557677
40.25,70,5.142857142857143,0.7375872084297957,0.7392144569880054,0.0,6.168096151015472,95.50211815557677
40.25,71,5.070422535211268,0.7376554541359106,0.7392372329322489,0.0,6.266749052194523,95.50211815557677
40.25,72,5.0,0.7377576320298437,0.7392590990839311,0.0,6.36540265663552,95.50211815557677
40.25,73,4.931506849315069,0.7377836333247559,0.7392799764138135,0.0,6.464058037409791,95.50211815557677
40.25,74,4.864864864864865,0.737843863388647,0.7393000603175213,0.0,6.562713827095442,95.50211815557677
40.25,75,4.8,0.7379017018249623,0.7393184619344298,0.0,6.6613726281759025,95.50211815557677
40.25,76,4.7368421052631575,0.7379572735824259,0.7393378758331088,0.0,6.760027748527349,95.50211815557677
40.25,77,4.675324675324675,0.7380106955564163,0.7393556917639068,0.0,6.858685776471806,95.50211815557677
40.25,78,4.615384615384615,0.7380620772038232,0.7393728197939002,0.0,6.957344457359972,95.50211815557677
40.25,79,4.556962025316456,0.7381115211038328,0.7393893117326805,0.0,7.056003882369277,95.50211815557677
40.25,80,4.5,0.7382086181434874,0.7394052952551131,0.0,7.154664491306889,95.50211815557677
40.5,1,360.0,0.0,0.09960983346991266,0.0,0.0,95.50211815557677
40.5,2,180.0,0.0,0.19921966693982532,0.0,0.0,95.50211815557677
40.5,3,120.0,0.0,0.29882950040973794,0.0,0.0,95.50211815557677
40.5,4,90.0,0.09439712334202059,0.3946643070702549,0.0,0.0037750268093957426,95.50211815557677
40.5,5,72.0,0.3123359625231215,0.44686016149825597,0.0,0.051189005851307305,95.50211815557677
40.5,6,60.0,0.43875862404167193,0.5093888638061012,0.0,0.0882701370133747,95.50211815557677
40.5,7,51.42857142857143,0.4550567325948777,0.5802235110198738,0.0,0.11704444761910429,95.50211815557677
40.5,8,45.0,0.45692074987955883,0.6391797200971864,0.0,0.1576989476621148,95.50211815557677
40.5,9,40.0,0.455056732594878,0.6606632891962988,0.0,0.23582422441324563,95.50211815557677
40.5,10,36.0,0.4550567325948777,0.6634652421184432,0.0,0.33263309258068346,95.50211815557677
40.5,11,32.72727272727273,0.455056732594878,0.6844951965291203,0.0,0.411211570401333,95.50211815557677
40.5,12,30.0,0.5494538559368983,0.7117464209034827,0.0,0.483571580735469,95.50211815557677
40.5,13,27.692307692307693,0.6368752035833295,0.7253249873691056,0.0,0.5696011740412137,95.50211815557677
40.5,14,25.714285714285715,0.6894392744482787,0.7237104547350097,0.0,0.6708254625429465,95.50211815557677
40.5,15,24.0,0.6758897701409626,0.7291129772127409,0.0,0.7650345248359487,95.50211815557677
40.5,16,22.5,0.7060836550477078,0.7363996048956599,0.0,0.8573564827902604,95.50211815557677
40.5,17,21.176470588235293,0.7111217392744381,0.7386767856406805,0.0,0.9546881989177024,95.50211815557677
40.5,18,20.0,0.7155592705049706,0.7401658588932075,0.0,1.0528091683258811,95.50211815557677
40.5,19,18.94736842105263,0.7193213657660954,0.7414275763965398,0.0,1.1511568169954618,95.50211815557677
40.5,20,18.0,0.7225382007992572,0.7425048232846464,0.0,1.2496918461136066,95.50211815557677
40.5,21,17.142857142857142,0.7253100905892695,0.7434342165229737,0.0,1.3483696593939607,95.50211815557677
40.5,22,16.363636363636363,0.727715334568961,0.7442395799606194,0.0,1.447173953900287,95.50211815557677
40.5,23,15.652173913043478,0.7298157617329006,0.744942604608125,0.0,1.5460806035178933,95.50211815557677
40.5,24,15.0,0.7319917891038925,0.745560351552691,0.0,1.6450756517252123,95.50211815557677
40.5,25,14.4,0.7332899522298124,0.7461039851118916,0.0,1.7441418516359248,95.50211815557677
40.5,26,13.846153846153847,0.7347358001279239,0.7465883606769286,0.0,1.8432639621437101,95.50211815557677
40.5,27,13.333333333333334,0.7360247535610077,0.7470192817178805,0.0,1.9424427143053824,95.50211815557677
