inclination_deg,theta_deg,upper_reach_deg,feasible_by_upper_bound,N_min,spacing_deg_at_N_min,mean_overlap_at_N_min,normalized_overlap_at_N_min,max_gap_time_min_at_N_min
56.25,4.550567325948776,60.800567325948776,True,30.0,12.0,1.3209261430818728,0.5690364680238503,0.0
56.5,4.550567325948776,61.050567325948776,True,30.0,12.0,1.298023049946476,0.5647506166884089,0.0
56.75,4.550567325948776,61.300567325948776,True,30.0,12.0,1.2761347436396207,0.560585194947638,0.0
57.0,4.550567325948776,61.550567325948776,True,30.0,12.0,1.2551604204402864,0.5565237677209208,0.0
57.25,4.550567325948776,61.800567325948776,True,30.0,12.0,1.2350296949582764,0.5525540889223333,0.0
57.5,4.550567325948776,62.050567325948776,True,30.0,12.0,1.2156973212124855,0.5486679904747366,0.0
57.75,4.550567325948776,62.300567325948776,True,31.0,11.612903225806452,1.2703088314914417,0.559498942634059,0.0
58.0,4.550567325948776,62.550567325948776,True,31.0,11.612903225806452,1.2517500302844071,0.5558419323375,0.0
58.25,4.550567325948776,62.800567325948776,True,32.0,11.25,1.3058923220143765,0.5661524244180134,0.0
58.5,4.550567325948776,63.050567325948776,True,32.0,11.25,1.2880183264855247,0.5627563263338714,0.0
58.75,4.550567325948776,63.300567325948776,True,32.0,11.25,1.270725535005259,0.5594329534409733,0.0
59.0,4.550567325948776,63.550567325948776,True,32.0,11.25,1.2539814592648422,0.5561773532337723,0.0
59.25,4.550567325948776,63.800567325948776,True,32.0,11.25,1.237754737703898,0.5529842578616921,0.0
59.5,4.550567325948776,64.05056732594878,True,32.0,11.25,1.2220195545586592,0.5498483194549915,0.0
59.75,4.550567325948776,64.30056732594878,True,32.0,11.25,1.206747211679893,0.546763600871142,0.0
60.0,4.550567325948776,64.55056732594878,True,32.0,11.25,1.1919157789828878,0.5437258664677465,0.0
