event_sample_id,burn_time_seconds,recovery_overhead_hours,degraded_duration_hours
4196,6.736816422119674,1.0,1.0018713378950332
4234,3.8687419560659464,1.0,1.0010746505433517
4237,3.1951406608459187,1.0,1.0008875390724572
4255,4.910356602132815,1.0,1.001363987945037
4291,6.056160483313544,1.0,1.0016822668009204
4319,4.351892246057165,1.0,1.001208858957238
4333,4.8535265889286805,1.0,1.001348201830258
4360,3.230698828159717,1.0,1.0008974163411555
4370,3.832217811830496,1.0,1.0010645049477307
4393,4.518483671986484,1.0,1.0012551343533296
4408,3.4315792961691294,1.0,1.000953216471158
4409,3.811121583534227,1.0,1.001058644884315
4426,2.9977375481673896,1.0,1.000832704874491
4462,5.998342833098835,1.0,1.0016662063425275
4467,4.702014078681849,1.0,1.001306115021856
4488,5.875038039901348,1.0,1.0016319550110837
4492,4.794940312365004,1.0,1.0013319278645458
4497,3.936169755633756,1.0,1.001093380487676
4498,3.317934696105862,1.0,1.000921648526696
4530,6.825336930340775,1.0,1.0018959269250947
4562,6.079062620908715,1.0,1.001688628505808
4577,7.364852025974855,1.0,1.0020457922294375
4591,3.521456340568818,1.0,1.0009781823168247
4608,4.926221490382332,1.0,1.0013683948584395
4654,5.823591646926829,1.0,1.0016176643463686
4708,5.577338770402296,1.0,1.0015492607695562
4731,2.97497687171262,1.0,1.0008263824643646
4769,3.2855704737213998,1.0,1.0009126584649226
4778,5.399967063551436,1.0,1.0014999908509865
4809,5.481760589328655,1.0,1.0015227112748135
4827,7.333067548359384,1.0,1.0020369632078776
4859,9.092065971069019,1.0,1.0025255738808525
4868,4.220669525446752,1.0,1.001172408201513
4870,5.072350229808809,1.0,1.001408986174947
4872,5.529105881713647,1.0,1.0015358627449205
4975,7.436160243934875,1.0,1.0020656000677597
4979,6.135608338252396,1.0,1.0017043356495146
5073,2.936161289268391,1.0,1.00081560035813
5075,5.348224180507621,1.0,1.0014856178279188
5076,4.58454640436381,1.0,1.0012734851123233
5088,7.264814990676971,1.0,1.002018004164077
5150,3.875227838370776,1.0,1.0010764521773252
5199,3.1167838541867887,1.0,1.0008657732928297
5236,6.502470277109484,1.0,1.0018062417436415
5268,4.195029366235747,1.0,1.0011652859350655
5270,6.044590091166757,1.0,1.0016790528031019
5387,3.8277147006697376,1.0,1.0010632540835194
5393,5.328164410757541,1.0,1.0014800456696549
5459,6.702222409378056,1.0,1.0018617284470495
5463,4.6397737907534875,1.0,1.001288826052987
5498,4.338537653725982,1.0,1.0012051493482572
5502,5.690323015993659,1.0,1.0015806452822205
5516,3.484564147111069,1.0,1.0009679344853086
5575,6.6045825901594135,1.0,1.0018346062750443
5591,6.078381601714877,1.0,1.0016884393338097
5693,5.515592161870497,1.0,1.001532108933853
5790,8.138379029908016,1.0,1.0022606608416411
5808,5.128839396694573,1.0,1.001424677610193
5840,3.7836341838826115,1.0,1.001051009495523
5885,5.162606855677154,1.0,1.0014340574599103
5917,3.3404098335713783,1.0,1.0009278916204365
5961,3.268643695722151,1.0,1.000907956582145
6003,7.447849255878847,1.0,1.002068847015522
6016,5.747220503226558,1.0,1.0015964501397852
6037,7.150043989058474,1.0,1.001986123330294
6084,4.87665109924329,1.0,1.0013546253053454
6103,5.898779261580334,1.0,1.0016385497948834
6121,4.644875715030938,1.0,1.0012902432541753
6177,5.5351653251430655,1.0,1.0015375459236509
6182,3.556837667197321,1.0,1.0009880104631104
6189,3.642061172026523,1.0,1.0010116836588963
6200,4.813243556990532,1.0,1.001337012099164
6204,4.581089769627766,1.0,1.0012725249360077
6205,3.9063813570659356,1.0,1.0010851059325183
6278,5.312157805426754,1.0,1.0014755993903963
6289,3.2843040407045443,1.0,1.0009123066779735
6332,4.009666631141773,1.0,1.0011137962864283
6363,3.761944023316577,1.0,1.0010449844509213
6397,3.3639793917933147,1.0,1.0009344387199426
6405,3.2297303915344244,1.0,1.0008971473309818
6411,4.026234291088926,1.0,1.0011183984141914
6487,3.4582289034140956,1.0,1.0009606191398372
6493,5.2934119475671615,1.0,1.0014703922076575
6521,8.650258404761502,1.0,1.0024028495568782
6524,4.467957860777982,1.0,1.0012410994057717
6552,3.3160834832892228,1.0,1.0009211343009137
6570,3.4930415119443836,1.0,1.0009702893088734
6584,3.4914348784333527,1.0,1.000969843021787
6588,5.747646836669507,1.0,1.0015965685657415
6617,4.470103058705277,1.0,1.0012416952940848
6645,2.9649360434669703,1.0,1.0008235933454075
6672,4.467605329618518,1.0,1.0012410014804496
6685,3.2142618036334447,1.0,1.0008928505010093
6779,6.036983637231241,1.0,1.001676939899231
6877,3.034604922123485,1.0,1.000842945811701
6915,8.124353869866674,1.0,1.0022567649638519
6931,3.617754923698868,1.0,1.0010049319232497
6938,3.235628467185503,1.0,1.0008987856853293
6966,5.148937231757156,1.0,1.0014302603421548
7054,6.118959457068307,1.0,1.0016997109602968
7071,6.98965005692731,1.0,1.0019415694602576
7082,6.065779667997528,1.0,1.001684938796666
7085,5.903125460870395,1.0,1.001639757072464
7139,2.8174702210777447,1.0,1.000782630616966
7144,5.783473934772143,1.0,1.0016065205374367
7157,5.965425464489549,1.0,1.0016570626290249
7173,3.3035171871671487,1.0,1.000917643663102
7189,5.69327061413043,1.0,1.0015814640594807
7203,3.843201731668966,1.0,1.0010675560365747
7252,6.8828874260945305,1.0,1.0019119131739151
7262,3.921769726556601,1.0,1.001089380479599
7320,6.691093817592364,1.0,1.0018586371715534
7322,3.097271160147841,1.0,1.000860353100041
7323,4.794189867991161,1.0,1.0013317194077753
7334,3.73600774480769,1.0,1.0010377799291132
7344,3.5048660036213874,1.0,1.0009735738898948
7377,3.393451892534838,1.0,1.0009426255257041
7406,5.550058610329778,1.0,1.0015416829473138
7435,3.3701961590558938,1.0,1.0009361655997377
7440,4.6491776742062285,1.0,1.001291438242835
7442,5.738895096220364,1.0,1.0015941375267279
7455,7.864125347627837,1.0,1.00218447926323
7467,7.96844435940951,1.0,1.0022134567665026
7479,5.217211414693157,1.0,1.0014492253929703
7492,3.042394189728803,1.0,1.000845109497147
