time_hours,maneuvering_satellite_count,failed_satellite_count,available_capacity_gbps,available_capacity_ratio,basic_coverage_indicator,recommended_candidate_id
6593.0,4.559425597261907,0.0,36754.40574402738,0.998761025652918,1,0
6594.0,1.371031771031994,0.0,36786.28968228968,0.9996274370187412,1,0
6595.0,1.540532229962082,0.0,36784.59467770038,0.9995813771114233,1,0
6596.0,2.6114068081506048,0.0,36773.88593191849,0.9992903785847416,1,0
6597.0,0.6588162805473985,0.0,36793.41183719452,0.9998209738368076,1,0
6598.0,3.636310895453789,0.0,36763.63689104546,0.9990118720392788,1,0
6599.0,0.7122301457120557,0.0,36792.87769854288,0.9998064591995348,1,0
6600.0,0.0,0.0,36800.0,1.0,1,0
6601.0,0.0,0.0,36800.0,1.0,1,0
6602.0,1.425128053318076,0.0,36785.74871946682,0.9996127369420332,1,0
6603.0,0.5772416569307097,0.0,36794.22758343069,0.9998431408540948,1,0
6604.0,1.626677931642007,0.0,36783.73322068358,0.999557967953358,1,0
6605.0,1.828832217451236,0.0,36781.711677825486,0.9995030347235186,1,0
6606.0,1.320500560887922,0.0,36786.79499439112,0.9996411683258456,1,0
6607.0,1.5094099128173184,0.0,36784.90590087183,0.9995898342628212,1,0
6608.0,0.7976301305170637,0.0,36792.02369869483,0.9997832526819248,1,0
6609.0,1.086911503902229,0.0,36789.13088496098,0.99970464361307,1,0
6610.0,2.0814217439692584,0.0,36779.18578256031,0.9994343962652258,1,0
6611.0,1.765058477142702,0.0,36782.34941522857,0.9995203645442546,1,0
6612.0,0.6646347983287342,0.0,36793.35365201671,0.9998193927178454,1,0
6613.0,1.8661074145356904,0.0,36781.338925854645,0.9994929055938764,1,0
6614.0,2.8544525281677124,0.0,36771.45547471832,0.9992243335521284,1,0
6615.0,3.848967977078246,0.0,36761.510320229216,0.9989540847888374,1,0
6616.0,1.8038224431784329,0.0,36781.96177556821,0.9995098308578318,1,0
6617.0,1.372488025169332,0.0,36786.27511974831,0.9996270412975083,1,0
6618.0,2.385211898991656,0.0,36776.14788101008,0.9993518445926652,1,0
6619.0,1.4441744007272064,0.0,36785.55825599273,0.9996075613041502,1,0
6620.0,2.0127986667957884,0.0,36779.872013332046,0.9994530438405448,1,0
6621.0,1.294924955605893,0.0,36787.050750443945,0.9996481182185856,1,0
6622.0,0.4814435535608936,0.0,36795.1855644644,0.999869172947402,1,0
6623.0,1.3776620700855349,0.0,36786.22337929915,0.999625635307042,1,0
6624.0,3.644160278739946,0.0,36763.55839721261,0.9990097390546904,1,0
6625.0,0.9857145658279478,0.0,36790.14285434172,0.9997321427810252,1,0
6626.0,1.4860972839005626,0.0,36785.13902716099,0.9995961692163312,1,0
6627.0,1.0294251103759962,0.0,36789.70574889624,0.9997202649156588,1,0
6628.0,4.17527014551888,0.0,36758.24729854481,0.9988654157213264,1,0
6629.0,1.9901742045540232,0.0,36780.09825795446,0.9994591917922409,1,0
6630.0,1.786566839759871,0.0,36782.1343316024,0.9995145198805,1,0
6631.0,1.3190778111702457,0.0,36786.809221888296,0.9996415549426168,1,0
6632.0,2.150505122931463,0.0,36778.49494877068,0.999415623607899,1,0
6633.0,2.256889452840369,0.0,36777.4311054716,0.9993867148225976,1,0
6634.0,3.0531020385578813,0.0,36769.46897961442,0.9991703527069136,1,0
6635.0,1.593257662662836,0.0,36784.06742337337,0.9995670495481896,1,0
6636.0,1.0427774655508983,0.0,36789.57222534449,0.9997166365582744,1,0
6637.0,0.150448578509895,0.0,36798.4955142149,0.9999591172341004,1,0
6638.0,1.2377590614596556,0.0,36787.6224093854,0.9996636524289512,1,0
6639.0,1.0366232705200673,0.0,36789.6337672948,0.9997183088938804,1,0
6640.0,2.722449476267684,0.0,36772.775505237325,0.9992602039466664,1,0
