candidate_id,scheme_type,k_per_plane,extra_plane_count,ground_spare_count,initial_cost_cny,annual_avoidance_cost_cny,five_year_expected_cost_cny,initial_launch_count
72,混合方案,2,2,5,1485000000.0,353461550.85311127,3253582754.2655563,3
73,混合方案,2,2,10,1510000000.0,353461550.85311127,3278532754.2655563,3
74,混合方案,2,2,20,1560000000.0,353461550.85311127,3328582754.2655563,3
75,混合方案,2,2,40,1660000000.0,353461550.85311127,3427607754.2655563,3
76,混合方案,2,2,60,1760000000.0,353461550.85311127,3528682754.2655563,3
77,混合方案,2,3,0,1890000000.0,361542679.7493554,3697713398.7467766,4
78,混合方案,2,3,1,1895000000.0,361542679.7493554,3702838398.7467766,4
79,混合方案,2,3,5,1915000000.0,361542679.7493554,3723888398.7467766,4
80,混合方案,2,3,10,1940000000.0,361542679.7493554,3748963398.7467766,4
81,混合方案,2,3,20,1990000000.0,361542679.7493554,3797938398.7467766,4
82,混合方案,2,3,40,2090000000.0,361542679.7493554,3899888398.7467766,4
83,混合方案,2,3,60,2190000000.0,361542679.7493554,4000063398.7467766,4
84,每轨在轨备用,3,0,0,1000000000.0,344326361.66605276,2721631808.330264,2
85,混合方案,3,0,1,1005000000.0,344326361.66605276,2726881808.330264,2
86,混合方案,3,0,5,1025000000.0,344326361.66605276,2746881808.330264,2
87,混合方案,3,0,10,1050000000.0,344326361.66605276,2771831808.330264,2
88,混合方案,3,0,20,1100000000.0,344326361.66605276,2821856808.330264,2
89,混合方案,3,0,40,1200000000.0,344326361.66605276,2921781808.330264,2
90,混合方案,3,0,60,1300000000.0,344326361.66605276,3021856808.330264,2
91,混合方案,3,1,0,1430000000.0,352407490.5622968,3192037452.8114843,3
92,混合方案,3,1,1,1435000000.0,352407490.5622968,3197262452.8114843,3
93,混合方案,3,1,5,1455000000.0,352407490.5622968,3218337452.8114843,3
94,混合方案,3,1,10,1480000000.0,352407490.5622968,3242112452.8114843,3
95,混合方案,3,1,20,1530000000.0,352407490.5622968,3292187452.8114843,3
96,混合方案,3,1,40,1630000000.0,352407490.5622968,3392212452.8114843,3
97,混合方案,3,1,60,1730000000.0,352407490.5622968,3492237452.8114843,3
98,混合方案,3,2,0,1860000000.0,360488619.4585409,3662443097.2927046,4
99,混合方案,3,2,1,1865000000.0,360488619.4585409,3667718097.2927046,4
100,混合方案,3,2,5,1885000000.0,360488619.4585409,3687618097.2927046,4
101,混合方案,3,2,10,1910000000.0,360488619.4585409,3713793097.2927046,4
102,混合方案,3,2,20,1960000000.0,360488619.4585409,3762693097.2927046,4
103,混合方案,3,2,40,2060000000.0,360488619.4585409,3863818097.2927046,4
104,混合方案,3,2,60,2160000000.0,360488619.4585409,3963568097.2927046,4
105,混合方案,3,3,0,2290000000.0,368569748.354785,4132848741.773925,5
106,混合方案,3,3,1,2295000000.0,368569748.354785,4138023741.773925,5
107,混合方案,3,3,5,2315000000.0,368569748.354785,4159148741.773925,5
108,混合方案,3,3,10,2340000000.0,368569748.354785,4185073741.773925,5
109,混合方案,3,3,20,2390000000.0,368569748.354785,4234173741.773925,5
110,混合方案,3,3,40,2490000000.0,368569748.354785,4332973741.773925,5
111,混合方案,3,3,60,2590000000.0,368569748.354785,4433048741.773925,5
