time_hours,maneuvering_satellite_count,failed_satellite_count,available_capacity_gbps,available_capacity_ratio
37.0,3.200882350721322,0.0,36767.99117649279,0.9991301950133911
38.0,1.4929248271704978,0.0,36785.07075172829,0.9995943139056601
39.0,1.5920762385385174,0.0,36784.07923761461,0.9995673705873536
40.0,1.0417742447720073,0.0,36789.58225755228,0.9997169091726164
41.0,0.8463298915839559,0.0,36791.53670108416,0.9997700190512
42.0,1.461543250442297,0.0,36785.384567495574,0.9996028415080319
43.0,1.1661475564564583,0.0,36788.338524435436,0.9996831120770499
44.0,2.5520566235804907,0.0,36774.479433764194,0.9993065063522879
45.0,3.3569597471025574,0.0,36766.430402528975,0.9990877826774178
46.0,2.3191132168745483,0.0,36776.808867831256,0.9993698061910667
47.0,3.557552804465608,0.0,36764.424471955346,0.9990332736944387
48.0,1.7683716561538887,0.0,36782.316283438464,0.9995194642238713
49.0,2.4032141619772034,0.0,36775.96785838023,0.9993469526733758
50.0,0.966562052379345,0.0,36790.334379476204,0.9997373472683752
51.0,0.5034879687840501,0.0,36794.96512031216,0.9998631826171783
52.0,2.220628647926418,0.0,36777.79371352074,0.999396568302194
53.0,2.6339150105192317,0.0,36773.660849894804,0.9992842622254023
54.0,1.5998735472438668,0.0,36784.001264527564,0.9995652517534664
55.0,0.9272278587601548,0.0,36790.7277214124,0.9997480359079456
56.0,0.1253359871475368,0.0,36798.74664012853,0.9999659413078404
57.0,0.2287295034378758,0.0,36797.71270496562,0.9999378452436309
58.0,3.7501944020347935,0.0,36762.49805597965,0.9989809254342297
59.0,2.6476666856958815,0.0,36773.52333314304,0.999280525357148
60.0,2.2047812018297677,0.0,36777.952187981704,0.9994008746734159
61.0,2.0018297827952622,0.0,36779.981702172045,0.9994560245155447
62.0,3.4030716930427545,0.0,36765.96928306957,0.9990752522573253
63.0,2.9434495525079427,0.0,36770.56550447492,0.9992001495781229
64.0,1.8040023301937396,0.0,36781.95997669806,0.9995097819754908
65.0,1.7639882446764972,0.0,36782.36011755324,0.9995206553682945
66.0,1.2817391721177103,0.0,36787.182608278825,0.9996517013119246
67.0,1.2312185254770327,0.0,36787.68781474523,0.9996654297485117
68.0,1.7722878847264099,0.0,36782.277121152736,0.9995184000313243
69.0,0.9569870082018497,0.0,36790.43012991798,0.9997399491825538
70.0,1.0456802540108043,0.0,36789.54319745989,0.9997158477570622
71.0,0.6687146464373654,0.0,36793.31285353562,0.999818284063468
72.0,2.305445333747244,0.0,36776.94554666253,0.9993735202897427
73.0,2.5555105559245277,0.0,36774.444894440756,0.9993055677837162
74.0,1.2218162375118737,0.0,36787.78183762488,0.9996679847180675
75.0,2.0396501325439402,0.0,36779.60349867456,0.9994457472465913
76.0,2.2227506757208886,0.0,36777.77249324279,0.9993959916642062
77.0,2.218442387701174,0.0,36777.81557612299,0.9993971623946464
78.0,2.6185729066290975,0.0,36773.81427093371,0.9992884312753726
79.0,2.019916667093227,0.0,36779.80083332907,0.9994511096013334
80.0,3.4106718696862686,0.0,36765.893281303135,0.999073186991933
81.0,3.0005535767456166,0.0,36769.99446423254,0.9991846321802321
82.0,2.1417377861564972,0.0,36778.582622138434,0.9994180060363705
83.0,3.589430664557895,0.0,36764.105693354424,0.9990246112324572
84.0,1.766191231669822,0.0,36782.3380876833,0.9995200567305246
85.0,5.711630409289384,0.0,36742.883695907105,0.9984479265192148
86.0,2.298565525453526,0.0,36777.01434474546,0.9993753898028658
87.0,3.3793623100636268,0.0,36766.20637689936,0.9990816950244391
88.0,2.71563518638537,0.0,36772.84364813615,0.9992620556558737
89.0,2.3554281158354797,0.0,36776.44571884164,0.9993599380120012
90.0,3.569035109949766,0.0,36764.309648900504,0.999030153502731
91.0,3.5382476415430517,0.0,36764.61752358457,0.9990385196626242
92.0,2.382514931324849,0.0,36776.17485068675,0.9993525774643139
93.0,3.3960365989525627,0.0,36766.03963401047,0.9990771639676759
