event_sample_id,delta_v_required_mps,delta_v_commanded_mps,delta_v_actual_mps,delta_v_limited
353838,0.001625025069097422,0.001625025069097422,0.001691529918252794,False
353839,0.0012351686205802446,0.0012351686205802446,0.0012572220092399765,False
353845,0.002091677665251154,0.002091677665251154,0.0020841330761146243,False
353856,0.0022965582983558675,0.0022965582983558675,0.002265123661225685,False
353886,0.00130861360939421,0.00130861360939421,0.0012264792695459855,False
353930,0.0015579616077287836,0.0015579616077287836,0.0016227538922469825,False
353971,0.003380013527679398,0.003380013527679398,0.0034364968157249505,False
354013,0.0034439680382794026,0.0034439680382794026,0.0035008221020355664,False
354044,0.0021728483689118327,0.0021728483689118327,0.0021661364911659095,False
354052,0.0036105346701908146,0.0036105346701908146,0.0036496795722576036,False
354053,0.0021133311488973692,0.0021133311488973692,0.0020945702785999526,False
354075,0.002861282351418913,0.002861282351418913,0.002983328544076004,False
354119,0.0018248550801593108,0.0018248550801593108,0.0017734042135357669,False
354145,0.0026568244691480107,0.0026568244691480107,0.002606767875858855,False
354177,0.0028874723774560975,0.0028874723774560975,0.0029338037411602716,False
354183,0.002531606328385182,0.002531606328385182,0.00249715880998165,False
354216,0.002663545029170848,0.002663545029170848,0.0026857063459632216,False
354219,0.0031456839008576994,0.0031456839008576994,0.0031021741564412927,False
354247,0.0027351671150085176,0.0027351671150085176,0.0026839792652319848,False
354259,0.0015217878154214226,0.0015217878154214226,0.001543559089641845,False
354335,0.0017190786877288033,0.0017190786877288033,0.001749460812029673,False
354345,0.0019873909795104132,0.0019873909795104132,0.001992233793794188,False
354393,0.0013704375975238387,0.0013704375975238387,0.0013479178309082184,False
354437,0.0013323584843631063,0.0013323584843631063,0.0013242932008996513,False
354451,0.0013542699750464823,0.0013542699750464823,0.0013374130966321372,False
354453,0.001966737952638719,0.001966737952638719,0.0019160039708366488,False
354454,0.0022179755043185553,0.0022179755043185553,0.0022085571628608193,False
354465,0.0027521346061149554,0.0027521346061149554,0.002830981577101722,False
