mc_year,annual_avoidance_count,annual_avoidance_cost_cny
515,16127,322540000.0
516,16302,326040000.0
517,16178,323560000.0
518,16123,322460000.0
519,16102,322040000.0
520,16065,321300000.0
521,16074,321480000.0
522,16008,320160000.0
523,16376,327520000.0
524,16245,324900000.0
525,16308,326160000.0
526,16200,324000000.0
527,15896,317920000.0
528,16155,323100000.0
529,16071,321420000.0
530,16154,323080000.0
531,16476,329520000.0
532,16326,326520000.0
533,16166,323320000.0
534,16312,326240000.0
535,15952,319040000.0
536,16193,323860000.0
537,16170,323400000.0
538,16242,324840000.0
539,16050,321000000.0
540,16117,322340000.0
541,16100,322000000.0
542,16069,321380000.0
543,16199,323980000.0
544,16300,326000000.0
545,16128,322560000.0
546,16248,324960000.0
547,16286,325720000.0
548,16166,323320000.0
549,16217,324340000.0
550,16064,321280000.0
551,16058,321160000.0
552,16135,322700000.0
553,16205,324100000.0
554,16122,322440000.0
555,16331,326620000.0
556,15976,319520000.0
557,16446,328920000.0
558,15959,319180000.0
559,16101,322020000.0
560,16085,321700000.0
561,16114,322280000.0
562,16192,323840000.0
563,16113,322260000.0
564,16194,323880000.0
565,15977,319540000.0
566,16264,325280000.0
567,16280,325600000.0
568,16165,323300000.0
569,16473,329460000.0
570,16033,320660000.0
571,16122,322440000.0
572,15923,318460000.0
573,16078,321560000.0
574,16158,323160000.0
575,16063,321260000.0
576,16061,321220000.0
577,16139,322780000.0
578,16297,325940000.0
579,16142,322840000.0
580,16049,320980000.0
581,16273,325460000.0
582,16088,321760000.0
583,16263,325260000.0
584,16122,322440000.0
585,16111,322220000.0
586,16087,321740000.0
587,16295,325900000.0
588,16227,324540000.0
589,16026,320520000.0
590,16309,326180000.0
591,16162,323240000.0
592,16205,324100000.0
593,16244,324880000.0
594,16320,326400000.0
595,16203,324060000.0
596,16026,320520000.0
597,16356,327120000.0
598,16429,328580000.0
599,16234,324680000.0
600,15998,319960000.0
601,16159,323180000.0
602,16332,326640000.0
603,16096,321920000.0
604,16135,322700000.0
605,16257,325140000.0
606,16277,325540000.0
607,16297,325940000.0
608,15978,319560000.0
609,15876,317520000.0
610,16138,322760000.0
611,16201,324020000.0
612,16126,322520000.0
613,16369,327380000.0
614,16133,322660000.0
615,16173,323460000.0
616,16420,328400000.0
617,16262,325240000.0
618,15896,317920000.0
619,16222,324440000.0
620,16310,326200000.0
621,16159,323180000.0
622,15874,317480000.0
623,16163,323260000.0
624,16101,322020000.0
625,16139,322780000.0
626,15812,316240000.0
627,16191,323820000.0
628,16313,326260000.0
629,16036,320720000.0
630,16062,321240000.0
631,16096,321920000.0
632,16065,321300000.0
633,16167,323340000.0
634,16060,321200000.0
635,15832,316640000.0
636,16256,325120000.0
637,16319,326380000.0
638,16269,325380000.0
639,16046,320920000.0
640,16140,322800000.0
641,16219,324380000.0
642,16204,324080000.0
643,16438,328760000.0
644,16171,323420000.0
645,16210,324200000.0
646,15963,319260000.0
647,16274,325480000.0
648,15980,319600000.0
649,15985,319700000.0
650,16249,324980000.0
651,15866,317320000.0
652,15953,319060000.0
653,16161,323220000.0
654,16115,322300000.0
655,16370,327400000.0
656,16215,324300000.0
657,16138,322760000.0
658,16170,323400000.0
659,16005,320100000.0
660,15978,319560000.0
661,16109,322180000.0
662,16145,322900000.0
663,16245,324900000.0
664,16119,322380000.0
665,16254,325080000.0
666,16055,321100000.0
667,16289,325780000.0
668,16090,321800000.0
669,16331,326620000.0
670,16074,321480000.0
671,16362,327240000.0
672,16330,326600000.0
673,16085,321700000.0
674,16249,324980000.0
675,16421,328420000.0
676,16315,326300000.0
677,16099,321980000.0
678,16365,327300000.0
679,16200,324000000.0
680,16217,324340000.0
681,16197,323940000.0
682,16287,325740000.0
683,16186,323720000.0
684,16150,323000000.0
685,16274,325480000.0
686,16300,326000000.0
687,16085,321700000.0
688,16020,320400000.0
689,16172,323440000.0
690,16046,320920000.0
691,16035,320700000.0
692,16219,324380000.0
693,16147,322940000.0
694,16234,324680000.0
695,16067,321340000.0
696,16079,321580000.0
697,16376,327520000.0
698,16040,320800000.0
699,16185,323700000.0
700,16226,324520000.0
701,16050,321000000.0
702,16139,322780000.0
703,16210,324200000.0
704,15965,319300000.0
705,16179,323580000.0
706,16270,325400000.0
707,16169,323380000.0
708,16367,327340000.0
709,16329,326580000.0
710,16269,325380000.0
711,16097,321940000.0
712,16149,322980000.0
713,16318,326360000.0
714,16216,324320000.0
715,16022,320440000.0
716,16131,322620000.0
717,16068,321360000.0
718,16292,325840000.0
719,16050,321000000.0
720,16196,323920000.0
721,16157,323140000.0
722,16323,326460000.0
723,16103,322060000.0
724,15897,317940000.0
725,16010,320200000.0
726,16142,322840000.0
