latitude_deg,longitude_deg,area_weight,availability1,availability2,mean_multiplicity,max_gap_time_min,max_double_gap_time_min
7.957015066042,135.0,0.0013679890560875513,1.0,1.0,2.4444444444444446,0.0,0.0
9.935522599064,73.0,0.0013679890560875513,1.0,1.0,2.4409722222222223,0.0,0.0
9.935522599064,75.008631903333,0.0013679890560875513,1.0,1.0,2.4756944444444446,0.0,0.0
9.935522599064,77.017263806666,0.0013679890560875513,1.0,1.0,2.4583333333333335,0.0,0.0
9.935522599064,79.025895709999,0.0013679890560875513,1.0,1.0,2.4409722222222223,0.0,0.0
9.935522599064,81.034527613332,0.0013679890560875513,1.0,1.0,2.4722222222222223,0.0,0.0
9.935522599064,83.043159516665,0.0013679890560875513,1.0,1.0,2.4652777777777777,0.0,0.0
9.935522599064,85.051791419998,0.0013679890560875513,1.0,1.0,2.4652777777777777,0.0,0.0
9.935522599064,87.06042332333,0.0013679890560875513,1.0,1.0,2.4618055555555554,0.0,0.0
9.935522599064,89.069055226663,0.0013679890560875513,1.0,1.0,2.4722222222222223,0.0,0.0
9.935522599064,91.077687129996,0.0013679890560875513,1.0,1.0,2.46875,0.0,0.0
9.935522599064,93.086319033329,0.0013679890560875513,1.0,1.0,2.4652777777777777,0.0,0.0
9.935522599064,95.094950936662,0.0013679890560875513,1.0,1.0,2.4756944444444446,0.0,0.0
9.935522599064,97.103582839995,0.0013679890560875513,1.0,1.0,2.486111111111111,0.0,0.0
9.935522599064,99.112214743328,0.0013679890560875513,1.0,1.0,2.4583333333333335,0.0,0.0
9.935522599064,101.120846646661,0.0013679890560875513,1.0,1.0,2.454861111111111,0.0,0.0
9.935522599064,103.129478549994,0.0013679890560875513,1.0,1.0,2.46875,0.0,0.0
9.935522599064,105.138110453327,0.0013679890560875513,1.0,1.0,2.4583333333333335,0.0,0.0
9.935522599064,107.14674235666,0.0013679890560875513,1.0,1.0,2.4722222222222223,0.0,0.0
9.935522599064,109.155374259993,0.0013679890560875513,1.0,1.0,2.4722222222222223,0.0,0.0
9.935522599064,111.164006163326,0.0013679890560875513,1.0,1.0,2.454861111111111,0.0,0.0
9.935522599064,113.172638066659,0.0013679890560875513,1.0,1.0,2.4722222222222223,0.0,0.0
9.935522599064,115.181269969991,0.0013679890560875513,1.0,1.0,2.4479166666666665,0.0,0.0
9.935522599064,117.189901873324,0.0013679890560875513,1.0,1.0,2.4583333333333335,0.0,0.0
9.935522599064,119.198533776657,0.0013679890560875513,1.0,1.0,2.454861111111111,0.0,0.0
9.935522599064,121.20716567999,0.0013679890560875513,1.0,1.0,2.4618055555555554,0.0,0.0
9.935522599064,123.215797583323,0.0013679890560875513,1.0,1.0,2.4583333333333335,0.0,0.0
9.935522599064,125.224429486656,0.0013679890560875513,1.0,1.0,2.46875,0.0,0.0
9.935522599064,127.233061389989,0.0013679890560875513,1.0,1.0,2.4895833333333335,0.0,0.0
9.935522599064,129.241693293322,0.0013679890560875513,1.0,1.0,2.4479166666666665,0.0,0.0
9.935522599064,131.250325196655,0.0013679890560875513,1.0,1.0,2.451388888888889,0.0,0.0
9.935522599064,133.258957099988,0.0013679890560875513,1.0,1.0,2.4722222222222223,0.0,0.0
9.935522599064,135.0,0.0013679890560875513,1.0,1.0,2.454861111111111,0.0,0.0
11.914030132085,73.0,0.0013679890560875513,1.0,1.0,2.46875,0.0,0.0
11.914030132085,75.022065943101,0.0013679890560875513,1.0,1.0,2.4965277777777777,0.0,0.0
11.914030132085,77.044131886203,0.0013679890560875513,1.0,1.0,2.4756944444444446,0.0,0.0
11.914030132085,79.066197829304,0.0013679890560875513,1.0,1.0,2.4895833333333335,0.0,0.0
11.914030132085,81.088263772406,0.0013679890560875513,1.0,1.0,2.5,0.0,0.0
11.914030132085,83.110329715507,0.0013679890560875513,1.0,1.0,2.5381944444444446,0.0,0.0
11.914030132085,85.132395658609,0.0013679890560875513,1.0,1.0,2.4722222222222223,0.0,0.0
11.914030132085,87.15446160171,0.0013679890560875513,1.0,1.0,2.4756944444444446,0.0,0.0
11.914030132085,89.176527544812,0.0013679890560875513,1.0,1.0,2.5034722222222223,0.0,0.0
11.914030132085,91.198593487913,0.0013679890560875513,1.0,1.0,2.4618055555555554,0.0,0.0
11.914030132085,93.220659431015,0.0013679890560875513,1.0,1.0,2.4756944444444446,0.0,0.0
11.914030132085,95.242725374116,0.0013679890560875513,1.0,1.0,2.5069444444444446,0.0,0.0
11.914030132085,97.264791317218,0.0013679890560875513,1.0,1.0,2.4930555555555554,0.0,0.0
11.914030132085,99.286857260319,0.0013679890560875513,1.0,1.0,2.4722222222222223,0.0,0.0
11.914030132085,101.308923203421,0.0013679890560875513,1.0,1.0,2.5208333333333335,0.0,0.0
11.914030132085,103.330989146522,0.0013679890560875513,1.0,1.0,2.5,0.0,0.0
11.914030132085,105.353055089623,0.0013679890560875513,1.0,1.0,2.4791666666666665,0.0,0.0
11.914030132085,107.375121032725,0.0013679890560875513,1.0,1.0,2.486111111111111,0.0,0.0
11.914030132085,109.397186975826,0.0013679890560875513,1.0,1.0,2.486111111111111,0.0,0.0
11.914030132085,111.419252918928,0.0013679890560875513,1.0,1.0,2.4722222222222223,0.0,0.0
11.914030132085,113.441318862029,0.0013679890560875513,1.0,1.0,2.5277777777777777,0.0,0.0
