M,N,inclination_deg,phase_factor_F,Omega0_deg,u0_deg,total_satellites,feasible,constraint_violation,Q1_full_region,Q2_full_region,P1_space_time,P2_space_time,mean_multiplicity,worst_A1,worst_A2,max_gap_time_min,max_double_gap_time_min,min_availability1,min_availability2,mean_availability1,mean_availability2,std_availability1,std_mean_multiplicity,min_angular_margin_deg,worst_grid_latitude_deg,worst_grid_longitude_deg,worst_double_grid_latitude_deg,worst_double_grid_longitude_deg,sample_count,grid_point_count,simulation_duration_seconds,coverage_method,single_feasible,double_feasible,upper_reach_deg,geometric_prefilter_failed,generation_evaluated,seed,search_stage,scenario,refinement_iteration
28,36,50.058944680604945,9,1.2167775699125563,1.3186712899309128,1008,False,196.09625797993615,0.0,0.0,0.9451949384404928,0.6528727770177842,2.0187718498252014,0.9261285909712724,0.6224350205198361,15.0,50.0,0.7361111111111112,0.3645833333333333,0.9451949384404923,0.6528727770177839,0.06701458532337003,0.9571783650211069,,53.0,82.862702609144,5.978507533021,126.711840182475,288,731,86400.0,kdtree,False,False,54.60951200655372,False,0.0,20360710.0,main_ga,double,
51,43,49.66775852372357,36,2.2314839104794326,4.9659275546173065,2193,True,0.0,1.0,1.0,1.0000000000000002,1.0000000000000002,4.394208846329229,1.0000000000000004,1.0000000000000004,0.0,0.0,1.0,1.0,1.0000000000000004,1.0000000000000004,0.0,2.0995174156181307,,4.0,73.0,4.0,73.0,288,731,86400.0,kdtree,True,True,54.21832584967235,False,0.0,20360710.0,main_ga,double,
44,45,58.360678349739224,17,6.683717422941843,5.580206210652852,1980,False,95.02295656634747,1.0,0.0,1.0000000000000002,0.9770434336525313,3.194757941936464,1.0000000000000004,0.9630642954856365,0.0,5.0,1.0,0.90625,1.0000000000000004,0.9770434336525311,0.0,1.1453662451929059,,4.0,73.0,4.0,100.766743854775,288,731,86400.0,kdtree,True,False,62.911245675688,False,0.0,20360710.0,main_ga,double,
6,42,44.39071670797337,0,6.991518479529326,3.164734969566051,252,False,247.58715966077855,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1440.0,1440.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.058715966077855,53.0,73.0,53.0,73.0,0,0,86400.0,geometric_prefilter,False,False,48.941284033922145,True,0.0,20360710.0,main_ga,double,
54,34,54.85692243958442,46,0.7134291720209112,10.183277135156658,1836,False,195.26921359629122,0.0,0.0,0.9901058291533672,0.9120972032223746,3.378505471956225,0.9822161422708622,0.894664842681259,5.0,10.0,0.8784722222222222,0.7569444444444444,0.9901058291533672,0.9120972032223746,0.026224279087821795,1.7147419432393196,,9.935522599064,91.077687129996,15.871045198127,120.309114008052,288,731,86400.0,kdtree,False,False,59.4074897655332,False,0.0,20360710.0,main_ga,double,
55,36,53.87611969793033,29,3.8092049151789356,5.148144455729265,1980,False,195.31462798297613,0.0,0.0,0.9872083523331818,0.9214023787809703,3.7572389420884633,0.976744186046512,0.8891928864569087,5.0,10.0,0.8993055555555556,0.7326388888888888,0.9872083523331817,0.9214023787809702,0.02799188918403136,1.9323350346195607,,29.720597929276,86.669180196803,7.957015066042,116.950310451,288,731,86400.0,kdtree,False,False,58.426687023879104,False,0.0,20360710.0,main_ga,double,
32,44,54.875008667634056,7,6.259279057413167,2.5390110820024723,1408,False,195.32593289253685,0.0,0.0,0.9895500835993316,0.8588501291989669,2.5906150250797992,0.9822161422708622,0.8358413132694943,10.0,20.0,0.8854166666666666,0.6666666666666666,0.9895500835993316,0.8588501291989667,0.02322782608381586,1.3132794541061894,,7.957015066042,122.943534603409,4.0,73.0,288,731,86400.0,kdtree,False,False,59.42557599358283,False,0.0,20360710.0,main_ga,double,
35,40,50.56754188004223,18,0.9151981227287147,3.059028637346488,1400,False,189.65282527739782,0.05555555555555555,0.0,0.9961525307797542,0.9080027359781125,2.7926736586107306,0.9890560875513,0.8891928864569087,10.0,45.0,0.9444444444444444,0.75,0.9961525307797543,0.9080027359781127,0.010306408397950115,1.3213696901677536,,7.957015066042,114.952569066864,5.978507533021,120.743857939978,288,731,86400.0,kdtree,False,False,55.118109205991004,False,0.0,20360710.0,main_ga,double,
9,14,54.37207020478262,6,13.373624963201598,17.691474021738735,126,False,204.0801936084511,0.0,0.0,0.23294763641890853,0.0026124791001671988,0.23556011551907574,0.20109439124486994,0.0,135.0,1440.0,0.13194444444444445,0.0,0.23294763641890867,0.0026124791001671983,0.11986464723821597,0.1193358247566021,,17.849552731148,118.728313960962,4.0,73.0,288,731,86400.0,kdtree,False,False,58.92263753073139,False,0.0,20360710.0,main_ga,double,
50,49,51.14719786062078,3,4.1811930582961745,2.72011122919655,2450,True,0.0,1.0,1.0,1.0000000000000002,1.0000000000000002,4.876253989968081,1.0000000000000004,1.0000000000000004,0.0,0.0,1.0,1.0,1.0000000000000004,1.0000000000000004,0.0,2.3572158582743055,,4.0,73.0,4.0,73.0,288,731,86400.0,kdtree,True,True,55.697765186569555,False,0.0,20360710.0,main_ga,double,
