M,N,inclination_deg,phase_factor_F,Omega0_deg,u0_deg,total_satellites,feasible,constraint_violation,Q1_full_region,Q2_full_region,P1_space_time,P2_space_time,mean_multiplicity,worst_A1,worst_A2,max_gap_time_min,max_double_gap_time_min,min_availability1,min_availability2,mean_availability1,mean_availability2,std_availability1,std_mean_multiplicity,min_angular_margin_deg,worst_grid_latitude_deg,worst_grid_longitude_deg,worst_double_grid_latitude_deg,worst_double_grid_longitude_deg,sample_count,grid_point_count,simulation_duration_seconds,coverage_method,single_feasible,double_feasible,upper_reach_deg,geometric_prefilter_failed,generation_evaluated,seed,search_stage,scenario,refinement_iteration
38,34,55.27529505420107,8,8.242180297056008,9.705979130897786,1292,False,100.35419516643867,0.0,0.0,0.9775944292445664,0.7665393676850589,2.3493882048943595,0.9671682626538992,0.7400820793433658,5.0,15.0,0.8472222222222222,0.5381944444444444,0.9775944292445665,0.7665393676850589,0.03886608275534214,1.1874360511912838,,7.957015066042,124.941275987546,4.0,80.933355387079,288,731,86400.0,kdtree,False,False,59.82586238014984,False,0.0,20260710.0,main_ga,single,
40,37,45.47430057285667,32,2.269924074855005,1.6575508513827557,1480,False,141.75132101194555,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1440.0,1440.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.9751321011945535,53.0,73.0,53.0,73.0,0,0,86400.0,geometric_prefilter,False,False,50.02486789880545,True,0.0,20260710.0,main_ga,single,
50,47,52.49625458839856,40,5.09745334911658,2.4514318553537677,2350,True,0.0,1.0,1.0,1.0000000000000002,1.0000000000000002,4.582202842377261,1.0000000000000004,1.0000000000000004,0.0,0.0,1.0,1.0,1.0000000000000004,1.0000000000000004,0.0,2.2778209271231398,,4.0,73.0,4.0,73.0,288,731,86400.0,kdtree,True,True,57.04682191434733,False,0.0,20260710.0,main_ga,single,
36,43,55.66425083706686,6,5.960395661706096,0.34040247029476617,1548,False,100.2093498252014,0.0,0.0,0.9925853093175259,0.9131136950904397,2.780675254597963,0.9808481532147747,0.8891928864569087,15.0,25.0,0.9340277777777778,0.7881944444444444,0.9925853093175259,0.9131136950904397,0.01584347101678648,1.3880636879861132,,13.892537665106,103.571909801368,4.0,80.933355387079,288,731,86400.0,kdtree,False,False,60.214818163015636,False,0.0,20260710.0,main_ga,single,
46,12,51.54758795394109,24,0.04410554578586663,2.6017746835511977,552,False,103.3718317753458,0.0,0.0,0.7200324897400825,0.3123812509499923,1.0952224882200947,0.6922024623803014,0.2845417236662106,20.0,230.0,0.4097222222222222,0.05555555555555555,0.7200324897400819,0.3123812509499925,0.16588874069817136,0.537667577210674,,5.978507533021,92.893274141657,23.785075330212,85.97290180202,288,731,86400.0,kdtree,False,False,56.098155279889866,False,0.0,20260710.0,main_ga,single,
52,48,56.25088235850936,19,1.2111962097301132,1.116490984655237,2496,True,0.0,1.0,1.0,1.0000000000000002,1.0000000000000002,4.373698510411916,1.0000000000000004,1.0000000000000004,0.0,0.0,1.0,1.0,1.0000000000000004,1.0000000000000004,0.0,2.064596591551712,,4.0,73.0,4.0,73.0,288,731,86400.0,kdtree,True,True,60.801449684458134,False,0.0,20260710.0,main_ga,single,
37,48,52.61300308457281,15,7.833155706455147,4.081379912816046,1776,False,36.15616925064599,0.6388888888888888,0.0,0.9994537543699654,0.9827481380148961,3.45500360997112,0.9958960328317379,0.9753761969904244,5.0,10.0,0.9826388888888888,0.8784722222222222,0.9994537543699655,0.9827481380148964,0.0025261135711988885,1.7251681016880234,,4.0,82.916694233848,4.0,88.866710774157,288,731,86400.0,kdtree,False,False,57.16357041052159,False,0.0,20260710.0,main_ga,single,
28,43,50.48949474279549,1,10.148621955871903,3.0841677609378397,1204,False,100.5562632998936,0.0,0.0,0.9739892080863358,0.8021973324213411,2.402559279525763,0.9480164158686734,0.7496580027359785,15.0,35.0,0.8472222222222222,0.5381944444444444,0.9739892080863353,0.8021973324213405,0.04105953095483176,1.134777058142662,,21.806567797191,117.750886118862,4.0,84.900033080618,288,731,86400.0,kdtree,False,False,55.04006206874427,False,0.0,20260710.0,main_ga,single,
53,35,56.17456895820836,43,0.6700509904952794,7.548095325550608,1855,False,100.1919507143943,0.0,0.0,0.9893600851193196,0.9083494832041349,3.261860655114759,0.9822161422708622,0.8891928864569087,5.0,10.0,0.8784722222222222,0.7465277777777778,0.9893600851193195,0.9083494832041349,0.025774689175698102,1.5534802698299286,,17.849552731148,89.628477803986,11.914030132085,75.022065943101,288,731,86400.0,kdtree,False,False,60.72513628415714,False,0.0,20260710.0,main_ga,single,
51,45,44.146168406040154,22,2.4797279714956013,6.722078138775016,2295,False,155.0326426801107,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1440.0,1440.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.30326426801107,53.0,73.0,53.0,73.0,0,0,86400.0,geometric_prefilter,False,False,48.69673573198893,True,0.0,20260710.0,main_ga,single,
