satellite_id,plane_index,satellite_index,inclination_deg,raan_deg,initial_argument_of_latitude_deg,phase_factor,altitude_km
254,5,24,50.331343634531606,48.59413675096501,219.51307503004665,28,550.0
255,5,25,50.331343634531606,48.59413675096501,227.33916198656843,28,550.0
256,5,26,50.331343634531606,48.59413675096501,235.16524894309015,28,550.0
257,5,27,50.331343634531606,48.59413675096501,242.99133589961187,28,550.0
258,5,28,50.331343634531606,48.59413675096501,250.81742285613362,28,550.0
259,5,29,50.331343634531606,48.59413675096501,258.64350981265534,28,550.0
260,5,30,50.331343634531606,48.59413675096501,266.4695967691771,28,550.0
261,5,31,50.331343634531606,48.59413675096501,274.2956837256988,28,550.0
262,5,32,50.331343634531606,48.59413675096501,282.1217706822206,28,550.0
263,5,33,50.331343634531606,48.59413675096501,289.94785763874233,28,550.0
264,5,34,50.331343634531606,48.59413675096501,297.7739445952641,28,550.0
265,5,35,50.331343634531606,48.59413675096501,305.6000315517858,28,550.0
266,5,36,50.331343634531606,48.59413675096501,313.4261185083075,28,550.0
267,5,37,50.331343634531606,48.59413675096501,321.2522054648293,28,550.0
268,5,38,50.331343634531606,48.59413675096501,329.07829242135097,28,550.0
269,5,39,50.331343634531606,48.59413675096501,336.9043793778727,28,550.0
270,5,40,50.331343634531606,48.59413675096501,344.7304663343945,28,550.0
271,5,41,50.331343634531606,48.59413675096501,352.5565532909162,28,550.0
272,5,42,50.331343634531606,48.59413675096501,0.382640247437962,28,550.0
273,5,43,50.331343634531606,48.59413675096501,8.208727203959711,28,550.0
274,5,44,50.331343634531606,48.59413675096501,16.034814160481403,28,550.0
275,5,45,50.331343634531606,48.59413675096501,23.86090111700321,28,550.0
276,6,0,50.331343634531606,57.59413675096501,37.16524894309015,28,550.0
277,6,1,50.331343634531606,57.59413675096501,44.99133589961189,28,550.0
278,6,2,50.331343634531606,57.59413675096501,52.817422856133625,28,550.0
279,6,3,50.331343634531606,57.59413675096501,60.64350981265536,28,550.0
280,6,4,50.331343634531606,57.59413675096501,68.4695967691771,28,550.0
281,6,5,50.331343634531606,57.59413675096501,76.29568372569885,28,550.0
282,6,6,50.331343634531606,57.59413675096501,84.12177068222059,28,550.0
283,6,7,50.331343634531606,57.59413675096501,91.94785763874232,28,550.0
284,6,8,50.331343634531606,57.59413675096501,99.77394459526406,28,550.0
285,6,9,50.331343634531606,57.59413675096501,107.60003155178579,28,550.0
286,6,10,50.331343634531606,57.59413675096501,115.42611850830757,28,550.0
287,6,11,50.331343634531606,57.59413675096501,123.25220546482927,28,550.0
288,6,12,50.331343634531606,57.59413675096501,131.07829242135102,28,550.0
289,6,13,50.331343634531606,57.59413675096501,138.90437937787274,28,550.0
290,6,14,50.331343634531606,57.59413675096501,146.7304663343945,28,550.0
291,6,15,50.331343634531606,57.59413675096501,154.5565532909162,28,550.0
292,6,16,50.331343634531606,57.59413675096501,162.382640247438,28,550.0
293,6,17,50.331343634531606,57.59413675096501,170.20872720395974,28,550.0
294,6,18,50.331343634531606,57.59413675096501,178.03481416048146,28,550.0
295,6,19,50.331343634531606,57.59413675096501,185.86090111700315,28,550.0
296,6,20,50.331343634531606,57.59413675096501,193.68698807352493,28,550.0
297,6,21,50.331343634531606,57.59413675096501,201.51307503004668,28,550.0
298,6,22,50.331343634531606,57.59413675096501,209.3391619865684,28,550.0
299,6,23,50.331343634531606,57.59413675096501,217.16524894309015,28,550.0
300,6,24,50.331343634531606,57.59413675096501,224.99133589961187,28,550.0
301,6,25,50.331343634531606,57.59413675096501,232.81742285613362,28,550.0
302,6,26,50.331343634531606,57.59413675096501,240.6435098126554,28,550.0
303,6,27,50.331343634531606,57.59413675096501,248.4695967691771,28,550.0
304,6,28,50.331343634531606,57.59413675096501,256.29568372569884,28,550.0
305,6,29,50.331343634531606,57.59413675096501,264.1217706822206,28,550.0
306,6,30,50.331343634531606,57.59413675096501,271.94785763874233,28,550.0
307,6,31,50.331343634531606,57.59413675096501,279.773944595264,28,550.0
308,6,32,50.331343634531606,57.59413675096501,287.6000315517858,28,550.0
309,6,33,50.331343634531606,57.59413675096501,295.4261185083076,28,550.0
