time_seconds,left_plane,right_plane,kappa,feasible_count,maximum_distance_km,total_distance_km,matching_method
5760.0,6,7,45,46,931.0982094897087,32032.96977437482,cyclic_shift
5760.0,7,8,45,46,929.7914848666999,32032.969774295958,cyclic_shift
5760.0,8,9,45,46,930.8814965687362,32032.969774350713,cyclic_shift
5760.0,9,10,45,46,931.2540174939842,32032.969774395744,cyclic_shift
5760.0,10,11,45,46,930.3668351014444,32032.969774313122,cyclic_shift
5760.0,11,12,45,46,930.477463541466,32032.96977431927,cyclic_shift
5760.0,12,13,45,46,931.2698308976812,32032.969774398014,cyclic_shift
5760.0,13,14,45,46,930.8024528997711,32032.969774343266,cyclic_shift
5760.0,14,15,45,46,929.9336653667468,32032.96977429832,cyclic_shift
5760.0,15,16,45,46,931.1456450312364,32032.969774380836,cyclic_shift
5760.0,16,17,45,46,931.0982094897083,32032.969774374797,cyclic_shift
5760.0,17,18,45,46,929.7914848667002,32032.969774296038,cyclic_shift
5760.0,18,19,45,46,930.8814965687362,32032.969774350648,cyclic_shift
5760.0,19,20,45,46,931.2540174939842,32032.969774395748,cyclic_shift
5760.0,20,21,45,46,930.3668351014458,32032.96977431321,cyclic_shift
5760.0,21,22,45,46,930.4774635414618,32032.969774319055,cyclic_shift
5760.0,22,23,45,46,931.2698308976836,32032.96977439815,cyclic_shift
5760.0,23,24,45,46,930.8024528997714,32032.969774343364,cyclic_shift
5760.0,24,25,45,46,929.9336653667415,32032.96977429806,cyclic_shift
5760.0,25,26,45,46,931.1456450312387,32032.969774380847,cyclic_shift
5760.0,26,27,45,46,931.0982094897142,32032.96977437513,cyclic_shift
5760.0,27,28,45,46,929.7914848666883,32032.969774295652,cyclic_shift
5760.0,28,29,45,46,930.881496568742,32032.969774350928,cyclic_shift
5760.0,29,30,45,46,931.2540174939783,32032.96977439562,cyclic_shift
5760.0,30,31,45,46,930.3668351014462,32032.969774313333,cyclic_shift
5760.0,31,32,45,46,930.477463541459,32032.969774318968,cyclic_shift
5760.0,32,33,45,46,931.2698308976908,32032.969774398287,cyclic_shift
5760.0,33,34,45,46,930.8024528997719,32032.96977434304,cyclic_shift
5760.0,34,35,45,46,929.9336653667465,32032.969774298475,cyclic_shift
5760.0,35,36,45,46,931.1456450312355,32032.969774380723,cyclic_shift
5760.0,36,37,45,46,931.0982094897154,32032.969774374957,cyclic_shift
5760.0,37,38,45,46,929.7914848666886,32032.969774295736,cyclic_shift
5760.0,38,39,45,46,930.8814965687419,32032.969774351033,cyclic_shift
5760.0,39,0,27,46,931.2540174939883,32032.969774395708,cyclic_shift
5790.0,0,1,45,46,931.1787385784623,32032.969774385292,cyclic_shift
5790.0,1,2,45,46,930.0432833012794,32032.9697743008,cyclic_shift
5790.0,2,3,45,46,930.733412267781,32032.969774337267,cyclic_shift
5790.0,3,4,45,46,931.2773867044835,32032.969774399226,cyclic_shift
5790.0,4,5,45,46,930.5615957020324,32032.969774324432,cyclic_shift
5790.0,5,6,45,46,930.2722930660959,32032.969774308775,cyclic_shift
5790.0,6,7,45,46,931.2360333292319,32032.96977439319,cyclic_shift
5790.0,7,8,45,46,930.940118082641,32032.969774356756,cyclic_shift
5790.0,8,9,45,46,929.6714693871028,32032.969774294794,cyclic_shift
5790.0,9,10,45,46,931.0546906640973,32032.969774369514,cyclic_shift
5790.0,10,11,45,46,931.1787385784659,32032.969774385274,cyclic_shift
5790.0,11,12,45,46,930.0432833012806,32032.969774300873,cyclic_shift
5790.0,12,13,45,46,930.7334122677805,32032.969774337245,cyclic_shift
5790.0,13,14,45,46,931.2773867044833,32032.969774399222,cyclic_shift
5790.0,14,15,45,46,930.5615957020324,32032.96977432447,cyclic_shift
5790.0,15,16,45,46,930.2722930660951,32032.96977430874,cyclic_shift
5790.0,16,17,45,46,931.2360333292315,32032.96977439319,cyclic_shift
5790.0,17,18,45,46,930.940118082641,32032.969774356767,cyclic_shift
5790.0,18,19,45,46,929.6714693871029,32032.969774294732,cyclic_shift
5790.0,19,20,45,46,931.0546906640973,32032.96977436957,cyclic_shift
5790.0,20,21,45,46,931.1787385784673,32032.969774385256,cyclic_shift
5790.0,21,22,45,46,930.0432833012766,32032.969774300753,cyclic_shift
5790.0,22,23,45,46,930.7334122677829,32032.969774337398,cyclic_shift
5790.0,23,24,45,46,931.2773867044779,32032.96977439924,cyclic_shift
5790.0,24,25,45,46,930.5615957020318,32032.969774324305,cyclic_shift
5790.0,25,26,45,46,930.2722930660937,32032.969774308753,cyclic_shift
5790.0,26,27,45,46,931.2360333292374,32032.969774393445,cyclic_shift
5790.0,27,28,45,46,930.9401180826352,32032.969774356432,cyclic_shift
5790.0,28,29,45,46,929.6714693871089,32032.969774295052,cyclic_shift
5790.0,29,30,45,46,931.0546906640913,32032.969774369365,cyclic_shift
5790.0,30,31,45,46,931.1787385784681,32032.969774385434,cyclic_shift
5790.0,31,32,45,46,930.043283301278,32032.969774300658,cyclic_shift
5790.0,32,33,45,46,930.7334122677901,32032.969774337485,cyclic_shift
5790.0,33,34,45,46,931.2773867044725,32032.96977439893,cyclic_shift
5790.0,34,35,45,46,930.5615957020374,32032.96977432473,cyclic_shift
5790.0,35,36,45,46,930.2722930660888,32032.969774308567,cyclic_shift
5790.0,36,37,45,46,931.2360333292379,32032.9697743933,cyclic_shift
5790.0,37,38,45,46,930.9401180826401,32032.969774356552,cyclic_shift
5790.0,38,39,45,46,929.6714693871087,32032.9697742951,cyclic_shift
5790.0,39,0,27,46,931.0546906640967,32032.96977436946,cyclic_shift
5820.0,0,1,45,46,931.1788951310511,32032.969774385303,cyclic_shift
5820.0,1,2,45,46,931.0544572083012,32032.969774369485,cyclic_shift
5820.0,2,3,45,46,929.6708465437154,32032.969774294823,cyclic_shift
5820.0,3,4,45,46,930.9404045967492,32032.969774356796,cyclic_shift
5820.0,4,5,45,46,931.2359298584685,32032.969774393114,cyclic_shift
5820.0,5,6,45,46,930.2717998855295,32032.969774308745,cyclic_shift
