ground_index,latitude_deg,longitude_deg,minimum_visible_satellites,mean_visible_satellites,maximum_visible_satellites,mean_minimum_slant_distance_km
1905,34.0,88.0,2,3.517361111111111,5,593.9360544008395
1906,34.0,89.0,2,3.5,5,593.9176958789104
1907,34.0,90.0,2,3.5,5,593.7619547183808
1908,34.0,91.0,2,3.517361111111111,5,593.7023098360067
1909,34.0,92.0,2,3.5,5,593.6699869617515
1910,34.0,93.0,2,3.5277777777777777,5,593.7742533696627
1911,34.0,94.0,2,3.5416666666666665,5,594.0381859756103
1912,34.0,95.0,2,3.53125,5,594.0202514396916
1913,34.0,96.0,2,3.517361111111111,5,593.8813743894721
1914,34.0,97.0,2,3.5034722222222223,5,593.8462599136495
1915,34.0,98.0,2,3.517361111111111,5,593.8285234542562
1916,34.0,99.0,2,3.545138888888889,5,593.7557675426102
1917,34.0,100.0,2,3.513888888888889,5,593.7863916312734
1918,34.0,101.0,2,3.513888888888889,5,593.9511870153967
1919,34.0,102.0,2,3.5034722222222223,5,594.1403571549434
1920,34.0,103.0,2,3.4965277777777777,5,594.0076651261885
1921,34.0,104.0,2,3.5034722222222223,5,593.7183970604532
1922,34.0,105.0,2,3.5277777777777777,5,593.5764036336876
1923,34.0,106.0,2,3.53125,5,593.6597730590224
1924,34.0,107.0,2,3.5208333333333335,5,593.8153782418419
1925,34.0,108.0,2,3.517361111111111,5,594.0693707546769
1926,34.0,109.0,2,3.5104166666666665,5,594.0099692105043
1927,34.0,110.0,2,3.513888888888889,5,593.8711699220772
1928,34.0,111.0,2,3.53125,5,593.6083944220157
1929,34.0,112.0,2,3.4965277777777777,5,593.536846031432
1930,34.0,113.0,2,3.4895833333333335,5,593.5994352463445
1931,34.0,114.0,2,3.5208333333333335,5,593.8120213910671
1932,34.0,115.0,2,3.4965277777777777,5,593.8591797109725
1933,34.0,116.0,2,3.517361111111111,5,593.9723505102253
1934,34.0,117.0,2,3.517361111111111,5,593.7916175411343
1935,34.0,118.0,2,3.5416666666666665,5,593.7295532825061
1936,34.0,119.0,2,3.5208333333333335,5,593.5535573884396
1937,34.0,120.0,2,3.513888888888889,5,593.6901140677587
1938,34.0,121.0,2,3.4965277777777777,5,593.9549711954908
1939,34.0,122.0,2,3.5104166666666665,5,594.1513505977059
1940,34.0,123.0,2,3.513888888888889,5,593.9641967266214
1941,34.0,124.0,2,3.5381944444444446,5,593.8260423462873
1942,34.0,125.0,2,3.5277777777777777,5,593.640197907277
1943,34.0,126.0,2,3.517361111111111,5,593.795738722072
1944,34.0,127.0,2,3.5,5,593.855148755636
1945,34.0,128.0,2,3.513888888888889,5,593.940014589898
1946,34.0,129.0,2,3.53125,5,593.9590297108087
1947,34.0,130.0,2,3.5381944444444446,5,594.0856831422885
1948,34.0,131.0,2,3.5416666666666665,5,593.7725609975298
1949,34.0,132.0,2,3.5,5,593.7513829225758
1950,34.0,133.0,2,3.4895833333333335,5,593.6332016330903
1951,34.0,134.0,2,3.5243055555555554,5,593.7224826144368
1952,34.0,135.0,2,3.4930555555555554,5,593.8384725245362
1953,35.0,73.0,2,3.638888888888889,6,611.8817655769518
1954,35.0,74.0,2,3.6493055555555554,6,612.1220237779474
1955,35.0,75.0,2,3.6458333333333335,6,612.1883893021485
1956,35.0,76.0,2,3.607638888888889,6,611.9329168632057
1957,35.0,77.0,2,3.5972222222222223,6,611.7826599713267
1958,35.0,78.0,2,3.5868055555555554,6,611.6804600249895
1959,35.0,79.0,2,3.6319444444444446,6,611.5130442766824
1960,35.0,80.0,2,3.5833333333333335,6,611.924139865442
1961,35.0,81.0,2,3.6215277777777777,6,612.0097772361595
1962,35.0,82.0,2,3.6041666666666665,6,611.8802144100341
1963,35.0,83.0,2,3.6284722222222223,6,611.7462761460952
1964,35.0,84.0,2,3.642361111111111,6,611.6666533591672
1965,35.0,85.0,2,3.625,6,611.3918309954362
1966,35.0,86.0,2,3.6284722222222223,6,611.669238743392
1967,35.0,87.0,2,3.625,6,612.0780807739327
1968,35.0,88.0,2,3.6319444444444446,6,612.2483779261385
1969,35.0,89.0,2,3.625,6,612.1798470986691
1970,35.0,90.0,2,3.6006944444444446,6,611.8119746574386
1971,35.0,91.0,2,3.611111111111111,6,611.4966038509015
1972,35.0,92.0,2,3.59375,6,611.6820132242777
1973,35.0,93.0,2,3.6215277777777777,6,612.0950050220353
1974,35.0,94.0,2,3.625,6,612.2754499945395
1975,35.0,95.0,2,3.6319444444444446,6,612.2376606112585
1976,35.0,96.0,2,3.6215277777777777,6,612.1464714142351
1977,35.0,97.0,2,3.6458333333333335,6,611.7968757403119
1978,35.0,98.0,2,3.642361111111111,6,611.8197280465396
1979,35.0,99.0,2,3.638888888888889,6,612.0526952832902
1980,35.0,100.0,2,3.6215277777777777,6,612.155501531859
1981,35.0,101.0,2,3.6145833333333335,6,612.1947875469415
1982,35.0,102.0,2,3.642361111111111,6,612.1764224770802
1983,35.0,103.0,2,3.625,6,611.883628971547
1984,35.0,104.0,2,3.6284722222222223,6,611.7347429839932
1985,35.0,105.0,2,3.59375,6,611.8193213494237
1986,35.0,106.0,2,3.6006944444444446,6,611.9309791992434
1987,35.0,107.0,2,3.638888888888889,6,612.0843406322014
1988,35.0,108.0,2,3.6284722222222223,6,612.1737814115221
1989,35.0,109.0,2,3.6527777777777777,6,611.8666816459508
1990,35.0,110.0,2,3.638888888888889,6,611.6847867950199
1991,35.0,111.0,2,3.6145833333333335,6,611.7042011491945
1992,35.0,112.0,2,3.607638888888889,6,611.7815381235216
1993,35.0,113.0,2,3.6041666666666665,6,611.6765760650885
1994,35.0,114.0,2,3.6215277777777777,6,611.6985510688529
1995,35.0,115.0,2,3.6458333333333335,6,611.7915033913001
1996,35.0,116.0,2,3.6527777777777777,6,611.9088010288428
1997,35.0,117.0,2,3.6145833333333335,6,611.9377340022895
1998,35.0,118.0,2,3.607638888888889,6,611.9071451501674
1999,35.0,119.0,2,3.611111111111111,6,611.7532962200148
2000,35.0,120.0,2,3.6180555555555554,6,611.727006030828
2001,35.0,121.0,2,3.6631944444444446,6,611.8605105534207
2002,35.0,122.0,2,3.6666666666666665,6,612.0829227034756
2003,35.0,123.0,2,3.6284722222222223,6,612.1757376323375
2004,35.0,124.0,2,3.5972222222222223,6,612.1525594432418
2005,35.0,125.0,2,3.6319444444444446,6,611.9538992791839
2006,35.0,126.0,2,3.6527777777777777,6,611.887565806308
2007,35.0,127.0,2,3.6597222222222223,6,611.9469701024232
2008,35.0,128.0,2,3.6354166666666665,6,612.1131563953777
2009,35.0,129.0,2,3.6284722222222223,6,612.1920012602864
2010,35.0,130.0,2,3.6041666666666665,6,612.3227983409291
2011,35.0,131.0,2,3.6145833333333335,6,612.1683642393083
2012,35.0,132.0,2,3.6354166666666665,6,611.8161427082265
2013,35.0,133.0,2,3.625,6,611.6397686084874
2014,35.0,134.0,2,3.6284722222222223,6,611.8066499140359
2015,35.0,135.0,2,3.607638888888889,6,612.0911353279548
2016,36.0,73.0,2,3.7777777777777777,6,595.1998232770203
2017,36.0,74.0,2,3.763888888888889,6,595.2852303515731
2018,36.0,75.0,2,3.7430555555555554,6,595.4109547976451
2019,36.0,76.0,2,3.7291666666666665,6,595.2061738130752
2020,36.0,77.0,2,3.7465277777777777,6,595.0494542756787
2021,36.0,78.0,2,3.7465277777777777,6,594.9065614768267
2022,36.0,79.0,2,3.7465277777777777,6,594.9153547501952
2023,36.0,80.0,2,3.763888888888889,6,595.1885125665954
2024,36.0,81.0,2,3.7534722222222223,6,595.3285766835825
2025,36.0,82.0,2,3.736111111111111,6,595.2363142452584
2026,36.0,83.0,2,3.7256944444444446,6,595.0637262774826
2027,36.0,84.0,2,3.7534722222222223,6,594.8943091280112
2028,36.0,85.0,2,3.7743055555555554,6,594.7762083917504
2029,36.0,86.0,2,3.75,6,594.9412184802076
2030,36.0,87.0,2,3.7465277777777777,6,595.3481485691844
2031,36.0,88.0,2,3.7430555555555554,6,595.4906886249224
2032,36.0,89.0,2,3.7534722222222223,6,595.409893346681
2033,36.0,90.0,2,3.7395833333333335,6,595.0222102461959
2034,36.0,91.0,2,3.7430555555555554,6,594.861691067542
2035,36.0,92.0,2,3.736111111111111,6,594.9033320399781
2036,36.0,93.0,2,3.7569444444444446,6,595.2699645291301
2037,36.0,94.0,2,3.7534722222222223,6,595.48513704509
2038,36.0,95.0,2,3.75,6,595.4229793420175
2039,36.0,96.0,2,3.763888888888889,6,595.262433032863
2040,36.0,97.0,2,3.7604166666666665,6,595.0425189905916
2041,36.0,98.0,2,3.732638888888889,6,594.9613169577041
2042,36.0,99.0,2,3.7291666666666665,6,595.1644561986479
2043,36.0,100.0,2,3.75,5,595.3066893851768
2044,36.0,101.0,2,3.7465277777777777,6,595.4009571701818
2045,36.0,102.0,2,3.7569444444444446,6,595.3522610236404
2046,36.0,103.0,2,3.75,6,595.164087018901
2047,36.0,104.0,2,3.736111111111111,6,594.974918357138
2048,36.0,105.0,2,3.7430555555555554,6,595.0490227746775
2049,36.0,106.0,2,3.7430555555555554,6,595.1404186215473
2050,36.0,107.0,2,3.7534722222222223,6,595.280392413344
2051,36.0,108.0,2,3.7777777777777777,6,595.4044187392515
2052,36.0,109.0,2,3.7708333333333335,6,595.2254625099166
2053,36.0,110.0,2,3.7222222222222223,6,595.0204370839156
2054,36.0,111.0,2,3.7256944444444446,6,594.9731685421816
2055,36.0,112.0,2,3.7291666666666665,5,595.0199991311924
2056,36.0,113.0,2,3.7395833333333335,6,594.9980762267692
2057,36.0,114.0,2,3.7534722222222223,6,595.0270414471431
2058,36.0,115.0,2,3.7569444444444446,6,595.152455531996
2059,36.0,116.0,2,3.7569444444444446,6,595.2515423419359
2060,36.0,117.0,2,3.7430555555555554,6,595.1916083808233
