time_seconds,ground_index,satellite_id,assigned_gbps,assignment_cost_ms
63600.0,18,923,20.0,24.55720747106016
63600.0,28,41,20.0,28.69535635084065
63600.0,23,1809,20.0,24.305478429207138
63600.0,62,223,20.0,34.90737187508899
63600.0,62,1105,20.0,30.057494524136487
63600.0,62,1195,20.0,28.381851955607367
63600.0,61,178,20.0,31.781918559618674
63600.0,53,177,20.0,33.25976522048832
63600.0,53,1104,20.0,26.331717086575935
63600.0,0,832,20.0,28.710570471066426
63600.0,0,1717,20.0,30.619226271775176
63600.0,60,222,20.0,37.0027349824889
63600.0,114,133,20.0,28.41964756724093
63600.0,71,877,20.0,25.693808552927376
63600.0,100,1013,20.0,21.959780816845527
63600.0,143,1764,20.0,23.522234470558534
63600.0,205,922,20.0,23.054342509237415
63600.0,231,1058,20.0,21.791934263333708
63600.0,231,88,20.0,25.750913728088047
63600.0,260,1719,20.0,23.224371824232378
63600.0,302,1149,20.0,23.53512658836547
63600.0,252,1673,20.0,26.8248802899609
63900.0,42,1012,20.0,21.84600831196306
63900.0,42,130,20.0,23.313398842922854
63900.0,42,129,20.0,26.9757602597627
63900.0,49,1103,20.0,20.003683242769082
63900.0,34,84,20.0,24.972142632840715
63900.0,34,1057,20.0,19.324686984542687
63900.0,31,966,20.0,21.39313533344147
63900.0,7,1760,20.0,28.56665834126113
63900.0,7,875,20.0,26.255214771507788
63900.0,45,1102,20.0,18.123121599117788
63900.0,15,876,20.0,27.502401426643054
63900.0,15,1806,20.0,24.920807455514932
63900.0,18,921,20.0,24.166148606951815
63900.0,28,39,20.0,24.44748416195013
63900.0,38,85,20.0,21.478030052804947
63900.0,8,1761,20.0,25.12883181426797
63900.0,62,220,20.0,28.430935151046928
63900.0,62,1193,20.0,22.347035654926525
63900.0,5,830,20.0,29.77401660957109
63900.0,53,175,20.0,24.84522617550154
63900.0,53,1148,20.0,21.121931584992527
63900.0,0,1715,20.0,28.40094341327838
63900.0,4,1716,20.0,25.309404547830866
63900.0,80,920,20.0,22.991359588734863
63900.0,93,40,20.0,21.294099278904195
63900.0,184,176,20.0,22.90271325785607
63900.0,177,1147,20.0,18.27789857672782
63900.0,213,1011,20.0,20.374993633664754
63900.0,213,1807,20.0,21.292823177584218
63900.0,251,221,20.0,26.445114854290537
63900.0,240,131,20.0,20.885395352264336
63900.0,284,1056,20.0,18.358369558897444
63900.0,309,1192,20.0,19.6543449110196
63900.0,252,1671,20.0,26.09916330947962
64200.0,42,127,20.0,23.41333244314459
64200.0,42,1100,20.0,19.415779847222012
64200.0,49,172,20.0,27.217241226898
64200.0,49,1101,20.0,23.329648186664272
64200.0,49,128,20.0,20.88175758945718
64200.0,34,82,20.0,20.99927588283734
64200.0,34,1055,20.0,19.322671703512867
64200.0,31,1010,20.0,19.713792410212537
64200.0,31,37,20.0,19.921527875866023
64200.0,7,1758,20.0,23.609662080384123
64200.0,7,919,20.0,22.76025809681734
64200.0,15,1803,20.0,22.704810902144875
64200.0,15,964,20.0,19.443638090915993
64200.0,18,1804,20.0,19.283494114401375
64200.0,21,965,20.0,22.0288428328807
64200.0,21,36,20.0,23.64147254859079
64200.0,23,1009,20.0,17.745985930213823
64200.0,62,218,20.0,27.102351596334035
64200.0,62,1191,20.0,25.101933584640147
64200.0,6,828,20.0,26.565647586745907
64200.0,53,173,20.0,23.906150383552596
64200.0,53,1145,20.0,20.205814921987805
64200.0,55,1146,20.0,23.70673531018752
64200.0,0,1713,20.0,24.764387340588602
64200.0,74,1759,20.0,20.579211970899838
64200.0,122,1190,20.0,21.879327061963888
64200.0,160,1054,20.0,17.234297303846457
64200.0,164,83,20.0,18.52902144012637
