time_seconds,mean_delay_ms,p95_delay_ms,max_delay_ms,mean_hops,max_hops,reachable_count
6900.0,23.661896378054358,36.76511818353748,38.73698568553549,5.636363636363637,10,11
7200.0,21.275979909289898,36.91740454299755,45.54812258934585,5.181818181818182,14,11
7500.0,21.039213200072854,34.23607630558789,39.194924711217624,4.909090909090909,11,11
7800.0,22.468455870942588,36.88495678713503,42.2847292370958,5.2727272727272725,12,11
8100.0,18.267578728754458,30.01652810698934,30.972497977326032,4.090909090909091,8,11
8400.0,18.288898525855885,35.96078651170195,36.43145149862763,4.181818181818182,10,11
8700.0,23.21620607053579,41.34527868151504,43.5017612090403,5.909090909090909,13,11
9000.0,23.749688024885142,36.58374421382145,41.600618918398155,5.909090909090909,12,11
9300.0,20.0514432991249,26.916002195114338,29.01296442440762,4.545454545454546,7,11
9600.0,23.67477278857307,35.65280135347268,38.273589492244106,5.454545454545454,10,11
9900.0,21.865723841239667,31.25240392732543,32.27693229035553,5.0,8,11
10200.0,19.160770569425782,30.780572114000442,31.335003679183274,4.181818181818182,8,11
10500.0,16.976101912359578,30.061962253202253,33.71000729509837,3.6363636363636362,9,11
10800.0,21.74443072249612,39.03808842327638,45.65967408246821,5.181818181818182,14,11
11100.0,15.736984683962987,27.042471174347632,28.743061627570373,3.272727272727273,7,11
11400.0,18.063738062332266,28.03274807552485,29.86901314541947,3.727272727272727,7,11
11700.0,22.405691736518147,30.3884168696891,31.369540212770108,5.181818181818182,9,11
12000.0,16.230299689420885,33.12697642294405,37.14281805845168,3.5454545454545454,10,11
12300.0,14.54783597399595,21.398667612874235,23.944836549643302,2.909090909090909,7,11
12600.0,22.898882661060437,39.137480031615354,45.348661047672195,5.454545454545454,14,11
12900.0,17.85648074859142,28.808723378244792,32.11362834169705,3.909090909090909,8,11
13200.0,18.869278761781807,37.056886632342994,37.11930945769953,4.2727272727272725,10,11
13500.0,17.444071956443718,29.938756563238204,30.533577912168795,3.6363636363636362,7,11
13800.0,17.33639700442356,28.670837446210367,28.71174556284346,3.6363636363636362,7,11
14100.0,17.931373439381538,25.130828474887025,25.692467007545705,3.8181818181818183,6,11
14400.0,16.474252800266722,29.617198120538795,36.77469480469281,3.4545454545454546,10,11
14700.0,19.067106948553597,35.704101652481384,38.96326696585315,4.2727272727272725,11,11
15000.0,20.098600984891675,33.63827983262347,34.456301891961594,4.7272727272727275,10,11
15300.0,20.813956559536802,34.020717167522626,36.34822490911,4.818181818181818,10,11
15600.0,22.9598097973323,37.0920773937846,40.65683564464757,5.636363636363637,12,11
15900.0,24.296751716717303,37.08374374942473,38.71540830590027,6.181818181818182,11,11
16200.0,20.548399385677225,34.13466110064472,34.719030343311246,4.7272727272727275,10,11
16500.0,19.867386235803213,35.868894597549684,42.72339502788383,4.7272727272727275,13,11
16800.0,14.144339469219084,25.991922907524525,32.394157125249684,2.909090909090909,9,11
17100.0,20.761209294735547,45.70824896591306,46.03178913888813,5.090909090909091,14,11
17400.0,19.587075846640463,33.72382132890313,34.00781562157433,4.545454545454546,9,11
17700.0,20.808497750851792,28.528416566478015,29.614411540599065,4.909090909090909,8,11
18000.0,21.391814555648956,36.49285395572865,41.07801856752463,5.090909090909091,12,11
18300.0,18.166440940179882,32.47515587142421,39.63194665173913,3.909090909090909,11,11
18600.0,22.306221663036478,36.939697112064636,39.54518294705405,5.454545454545454,11,11
18900.0,17.046955419761243,32.96869431422735,36.89185337563157,3.727272727272727,11,11
19200.0,13.289560666852582,25.44035098690984,27.666629538401107,2.4545454545454546,7,11
19500.0,20.469161230353578,32.166250148589626,34.758031683262764,4.545454545454546,9,11
19800.0,19.86495045724497,26.828093119150722,26.92802576980015,4.454545454545454,7,11
