source_lat,source_lon,destination_lat,destination_lon,time_seconds,ground_distance_km,ingress_satellite,egress_satellite,satellite_path,ISL_hop_count,satellite_count,uplink_distance_km,ISL_total_distance_km,downlink_distance_km,propagation_delay_ms,processing_delay_ms,processing_delay_isl_only_ms,total_delay_ms,total_delay_isl_processing_ms,reachable,source_ground_index,destination_ground_index,pair_index
46.0,112.0,13.0,94.0,6000.0,4040.520685511037,12,1309,"[12, 1477, 1435, 1393, 1351, 1309]",5,6,609.9450946651513,3874.915886093574,627.6263331639095,17.053422050806343,3.0,2.5,20.053422050806347,19.553422050806343,True,321,73,10
7.0,135.0,52.0,76.0,6600.0,7310.77946200538,1435,5,"[1435, 1434, 1433, 1432, 1431, 1430, 1429, 1428, 1470, 5]",9,10,690.6494690401479,7648.195325304728,655.179523204328,30.000835836734772,5.0,4.5,35.00083583673477,34.50083583673477,True,43,353,11
34.0,88.0,22.0,121.0,0.0,3484.3279296975643,1265,1353,"[1265, 1307, 1349, 1350, 1351, 1352, 1353]",6,7,578.1266312357976,5227.991656452951,623.3378331148638,21.446357135520774,3.5,3.0,24.946357135520774,24.446357135520774,True,225,148,12
43.0,91.0,25.0,121.0,600.0,3383.5945210574923,1344,1348,"[1344, 1345, 1346, 1347, 1348]",4,5,692.4650358898026,3949.9078953750936,596.1959128437079,17.47398476618316,2.5,2.0,19.973984766183158,19.47398476618316,True,292,170,13
31.0,76.0,31.0,82.0,1200.0,571.8065624972196,1213,1214,"[1213, 1214]",1,2,571.6516896873725,987.4769738437795,753.5111040361963,7.714135915878673,1.0,0.5,8.714135915878673,8.214135915878673,True,199,201,14
34.0,73.0,13.0,106.0,1800.0,4065.000942171258,208,419,"[208, 209, 251, 293, 335, 377, 419]",6,7,677.3688918455472,5093.234460491257,686.756907083401,21.53943532302005,3.5,3.0,25.03943532302005,24.53943532302005,True,220,77,15
19.0,127.0,43.0,133.0,2400.0,2727.407625946363,1378,40,"[1378, 1377, 1419, 1461, 40]",4,5,563.018394023943,3152.0731082842644,653.9523984265136,14.573561756295822,2.5,2.0,17.07356175629582,16.573561756295824,True,128,306,16
46.0,127.0,19.0,88.0,3000.0,4655.997799420652,35,1244,"[35, 34, 33, 1454, 1412, 1370, 1328, 1286, 1244]",8,9,689.349862492275,5728.853264613375,697.5072297593752,23.73545486879802,4.5,4.0,28.23545486879802,27.73545486879802,True,326,115,17
49.0,106.0,22.0,118.0,3600.0,3183.753085091398,282,450,"[282, 324, 366, 408, 450]",4,5,733.8234356243672,2851.150548367608,624.8092577255921,14.042325380038637,2.5,2.0,16.542325380038637,16.042325380038637,True,341,147,18
7.0,115.0,40.0,88.0,4200.0,4548.401790359043,1323,1362,"[1323, 1322, 1321, 1320, 1363, 1362]",5,6,696.6586986627758,4937.384869218875,602.7668762630925,20.80376032723526,3.0,2.5,23.803760327235263,23.30376032723526,True,36,269,19
37.0,112.0,10.0,130.0,4800.0,3504.198303977542,400,612,"[400, 442, 484, 570, 612]",4,5,634.0880571609736,3489.9632909645097,618.0016364751261,15.817786131899988,2.5,2.0,18.31778613189999,17.817786131899986,True,255,63,20
46.0,109.0,40.0,82.0,5400.0,2282.2231235473573,269,267,"[269, 268, 267]",2,3,628.4924867396818,1974.953947687553,685.1509047705393,10.969579959205559,1.5,1.0,12.469579959205559,11.969579959205559,True,320,267,21
4.0,82.0,25.0,73.0,6000.0,2525.58772709387,430,347,"[430, 431, 389, 347]",3,4,681.8663713855315,2842.729144969797,705.993156777103,14.1117248290897,2.0,1.5,16.1117248290897,15.6117248290897,True,3,154,22
40.0,91.0,4.0,130.0,6600.0,5593.527642757433,1429,1435,"[1429, 1430, 1431, 1432, 1433, 1434, 1435]",6,7,589.959593896782,5924.861843062653,620.1315075895992,23.799641232298896,3.5,3.0,27.2996412322989,26.799641232298896,True,270,19,23
16.0,97.0,40.0,97.0,0.0,2668.6782394694083,348,221,"[348, 349, 307, 221]",3,4,725.1413876810533,2537.031736105433,653.5141556417371,13.061326844413891,2.0,1.5,15.061326844413891,14.561326844413891,True,96,272,24
43.0,100.0,46.0,88.0,600.0,1007.2787810229339,1345,1344,"[1345, 1344]",1,2,654.1781843817015,987.4769738437803,558.189973623644,7.337893509813132,1.0,0.5,8.337893509813131,7.837893509813132,True,295,313,25
40.0,88.0,31.0,103.0,1200.0,1682.91183778769,1298,1300,"[1298, 1299, 1300]",2,3,605.1756732029671,1974.9539476875598,725.2990321907141,11.025723179070907,1.5,1.0,12.525723179070907,12.025723179070907,True,269,208,26
43.0,88.0,46.0,91.0,1800.0,409.67363167319064,209,210,"[209, 210]",1,2,665.802201062562,987.4769738437737,594.546126833722,7.497938129384355,1.0,0.5,8.497938129384355,7.997938129384355,True,291,314,27
43.0,127.0,40.0,115.0,2400.0,1052.4405718621324,377,376,"[377, 376]",1,2,570.774660998348,987.4769738437798,686.854732958061,7.488868741988796,1.0,0.5,8.488868741988796,7.988868741988796,True,304,278,28
22.0,97.0,10.0,97.0,3000.0,1334.3391197347032,368,410,"[368, 410]",1,2,699.320669751872,960.7850461567152,705.2917506232703,7.890116657077002,1.0,0.5,8.890116657077002,8.390116657077002,True,140,52,29
4.0,127.0,25.0,100.0,3600.0,3711.693005054602,1328,1282,"[1328, 1327, 1326, 1325, 1324, 1282]",5,6,747.5209539122154,4793.352809043277,689.8201916897134,20.78335791437824,3.0,2.5,23.783357914378243,23.28335791437824,True,18,163,30
28.0,127.0,13.0,124.0,4200.0,1696.7041237201224,489,530,"[489, 531, 530]",2,3,570.5409380992202,1879.5361301016544,613.6512031353166,10.21949748761255,1.5,1.0,11.71949748761255,11.21949748761255,True,194,83,31
10.0,100.0,4.0,100.0,4800.0,667.1695598673621,1319,1233,"[1319, 1233]",1,2,683.0365112382148,1015.4835600929355,587.7876779785555,7.626301757430155,1.0,0.5,8.626301757430156,8.126301757430156,True,53,9,32
10.0,118.0,40.0,85.0,5400.0,4659.011291148066,1400,1395,"[1400, 1399, 1398, 1397, 1396, 1395]",5,6,711.8603041797217,4937.384869218873,595.9416932813607,20.831701065274817,3.0,2.5,23.83170106527482,23.331701065274817,True,59,268,33
40.0,133.0,25.0,76.0,6000.0,5501.355064144506,98,347,"[98, 97, 139, 181, 223, 265, 351, 350, 349, 348, 347]",10,11,756.126194508296,6439.054774671274,580.5736199120842,25.93712543993236,5.5,5.0,31.437125439932355,30.93712543993236,True,284,155,34
28.0,97.0,19.0,121.0,6600.0,2637.7002988365107,429,556,"[429, 430, 472, 514, 556]",4,5,620.0269980704725,3544.55127671297,666.3409637662465,16.114212047821724,2.5,2.0,18.61421204782173,18.114212047821724,True,184,126,35
19.0,127.0,40.0,91.0,0.0,4149.923220050316,1354,1349,"[1354, 1353, 1352, 1351, 1350, 1349]",5,6,689.1805722428438,4937.384869218874,740.5533478053511,21.238422179610232,3.0,2.5,24.238422179610232,23.738422179610232,True,128,270,36
34.0,91.0,10.0,109.0,600.0,3238.2122144486184,1261,1264,"[1261, 1262, 1263, 1264]",3,4,700.1488736402569,2962.430921531326,599.3067441721262,14.216123273333677,2.0,1.5,16.21612327333368,15.716123273333677,True,226,56,37
28.0,133.0,31.0,124.0,1200.0,932.3209100626633,469,427,"[469, 427]",1,2,696.6586755083626,811.3350873153881,596.8620663128212,7.021043301684968,1.0,0.5,8.021043301684967,7.521043301684968,True,196,215,38
25.0,94.0,19.0,91.0,1800.0,735.285588920817,1253,1211,"[1253, 1211]",1,2,591.8090521029353,931.2769160009061,625.6323436836738,7.167352795071033,1.0,0.5,8.167352795071032,7.667352795071033,True,161,116,39
13.0,100.0,10.0,100.0,2400.0,333.5847799336947,1250,1250,[1250],0,1,558.0992833422632,0.0,667.4988145851559,4.088155206117357,0.5,0.0,4.588155206117358,4.088155206117357,True,75,53,40
25.0,88.0,31.0,91.0,3000.0,729.1891467462194,1243,1285,"[1243, 1285]",1,2,740.757356320524,794.1328685925417,698.7668567110792,7.450678034149027,1.0,0.5,8.450678034149028,7.950678034149027,True,159,204,41
31.0,115.0,31.0,135.0,3600.0,1903.6637781152212,1367,1453,"[1367, 1409, 1495, 1452, 1453]",4,5,713.5789554735754,3369.0106762129835,665.4819174639878,15.837861902284905,2.5,2.0,18.337861902284903,17.837861902284907,True,212,219,42
28.0,118.0,10.0,127.0,4200.0,2211.599783410826,446,530,"[446, 488, 530]",2,3,577.9664654763492,1844.1764429842133,747.5755625945292,10.573042738303617,1.5,1.0,12.073042738303617,11.573042738303617,True,191,62,43
49.0,106.0,4.0,112.0,4800.0,5035.992894537099,273,568,"[273, 315, 357, 399, 441, 527, 569, 568]",7,8,733.6036032133238,5644.476458092503,755.0497340968201,23.793559861344637,4.0,3.5,27.793559861344637,27.293559861344637,True,341,13,44
7.0,100.0,52.0,79.0,5400.0,5359.705360197895,520,140,"[520, 478, 436, 394, 308, 266, 224, 182, 140]",8,9,729.9184438813002,6292.239635935075,758.3824910702218,25.95308975680301,4.5,4.0,30.453089756803006,29.95308975680301,True,31,354,45
31.0,94.0,4.0,88.0,6000.0,3067.346847260707,1350,1225,"[1350, 1308, 1266, 1224, 1225]",4,5,663.5242294607293,3801.163989693413,751.4816110495393,17.399269698117898,2.5,2.0,19.899269698117898,19.399269698117898,True,205,5,46
37.0,91.0,43.0,127.0,6600.0,3113.132417120011,387,432,"[387, 388, 389, 390, 432]",4,5,745.2627299335066,3405.5754351642427,643.7394674023114,15.992989498421807,2.5,2.0,18.492989498421807,17.992989498421807,True,248,304,47
40.0,133.0,13.0,112.0,0.0,3637.023826574394,437,433,"[437, 436, 435, 434, 433]",4,5,729.1249113724683,3949.907895375094,563.3873565419685,17.486831384162212,2.5,2.0,19.986831384162212,19.486831384162212,True,284,79,48
16.0,112.0,7.0,97.0,600.0,1914.7076605343268,429,385,"[429, 387, 386, 385]",3,4,564.2112481588141,2903.6750984765827,725.1815972955184,13.986569148216915,2.0,1.5,15.986569148216915,15.486569148216915,True,101,30,49
16.0,103.0,37.0,76.0,1200.0,3535.833147698005,1259,1255,"[1259, 1258, 1257, 1256, 1255]",4,5,606.2824971497275,3949.907895375095,613.4087011365516,17.243926442143433,2.5,2.0,19.743926442143433,19.243926442143433,True,98,243,50
40.0,79.0,19.0,103.0,1800.0,3272.4155189578164,1293,1254,"[1293, 1251, 1252, 1253, 1254]",4,5,669.8317136323792,3638.330332879118,681.4124325682764,16.64342896538036,2.5,2.0,19.14342896538036,18.64342896538036,True,266,120,51
52.0,106.0,4.0,135.0,2400.0,5970.269116501033,249,585,"[249, 291, 333, 375, 417, 459, 501, 543, 585]",8,9,750.6864718630945,6350.362678620896,580.7233800305936,25.623635036591164,4.5,4.0,30.123635036591164,29.623635036591164,True,363,21,52
43.0,73.0,40.0,109.0,3000.0,2993.48186713997,115,1413,"[115, 116, 74, 32, 1453, 1411, 1412, 1413]",7,8,732.8321747641419,4077.730649191828,587.16960597321,18.0048973411105,4.0,3.5,22.0048973411105,21.5048973411105,True,286,276,53
43.0,94.0,31.0,85.0,3600.0,1553.2017627632792,1365,1281,"[1365, 1323, 1281]",2,3,598.5146773799449,1405.9748347594254,726.444697435189,9.109415986624185,1.5,1.0,10.609415986624184,10.109415986624185,True,293,202,54
34.0,82.0,43.0,73.0,4200.0,1269.1566651412713,275,191,"[275, 233, 191]",2,3,556.5491722917379,1294.6303217534737,697.6199322621835,8.501879744777954,1.5,1.0,10.001879744777954,9.501879744777954,True,223,286,55
49.0,115.0,34.0,124.0,4800.0,1825.5009841277392,21,1487,"[21, 1486, 1487]",2,3,740.1381086929841,1542.0034891369032,657.3938910043759,9.805234956358586,1.5,1.0,11.305234956358587,10.805234956358586,True,344,237,56
7.0,127.0,25.0,106.0,5400.0,2998.02061436299,1401,1398,"[1401, 1400, 1399, 1398]",3,4,596.0269980030682,2962.430921531339,607.4113676367841,13.895844194890294,2.0,1.5,15.895844194890293,15.395844194890294,True,40,165,57
40.0,118.0,10.0,94.0,6000.0,4091.205733152111,478,474,"[478, 477, 476, 475, 474]",4,5,752.4999953239561,3949.907895375094,749.4763257093878,18.18552825771367,2.5,2.0,20.68552825771367,20.18552825771367,True,279,51,58
4.0,124.0,13.0,118.0,6600.0,1198.3051154766324,1392,1391,"[1392, 1391]",1,2,675.7527458523384,987.4769738437798,607.332909166918,7.573781688874362,1.0,0.5,8.573781688874362,8.073781688874362,True,17,81,59
19.0,103.0,31.0,73.0,0.0,3290.4590817259673,1267,1180,"[1267, 1266, 1265, 1264, 1222, 1180]",5,6,653.9279389313167,4455.955116929985,732.1859972502539,19.48704477786281,3.0,2.5,22.487044777862813,21.98704477786281,True,120,198,60
4.0,88.0,19.0,127.0,600.0,4549.108051976342,384,473,"[384, 385, 386, 387, 388, 389, 431, 473]",7,8,639.5741605534456,6572.083594496246,728.1264405136309,26.484269312616675,4.0,3.5,30.48426931261668,29.984269312616675,True,5,128,61
25.0,94.0,37.0,118.0,1200.0,2636.77157097216,340,385,"[340, 341, 342, 343, 385]",4,5,730.2908041720812,3568.5587225954296,710.2091210459814,16.708421156523865,2.5,2.0,19.208421156523865,18.708421156523865,True,161,257,62
46.0,91.0,40.0,76.0,1800.0,1387.1762174291598,210,208,"[210, 209, 208]",2,3,594.546126833722,1974.9539476875475,674.2541974624206,10.8199995877938,1.5,1.0,12.3199995877938,11.8199995877938,True,314,265,63
19.0,76.0,16.0,112.0,2400.0,3825.857101695579,287,458,"[287, 288, 289, 290, 332, 374, 416, 458]",7,8,717.759969431321,6250.206718032544,581.1520729047886,25.181149688457655,4.0,3.5,29.18114968845765,28.681149688457655,True,111,101,64
31.0,118.0,52.0,85.0,3000.0,3553.4886107121483,1414,1453,"[1414, 1413, 1412, 1411, 1453]",4,5,666.9179580296781,3314.5322844620814,686.2912414817899,15.569909647205167,2.5,2.0,18.069909647205165,17.569909647205165,True,213,356,65
52.0,82.0,31.0,130.0,3600.0,4517.439369403903,1492,1453,"[1492, 1493, 1494, 1495, 1452, 1453]",5,6,562.2085587088676,4937.384869218875,563.4968075720124,20.224292085092266,3.0,2.5,23.224292085092266,22.724292085092266,True,355,217,66
53.0,118.0,46.0,112.0,4200.0,890.1118118896156,194,236,"[194, 236]",1,2,682.3890085029824,269.6435985906648,734.6426013760549,5.626142898063507,1.0,0.5,6.626142898063507,6.126142898063507,True,389,321,67
53.0,130.0,22.0,115.0,4800.0,3675.4691213587475,275,441,"[275, 317, 359, 401, 443, 442, 441]",6,7,670.8454226297135,3892.3947473848434,707.4861696938344,17.581250625418974,3.5,3.0,21.081250625418974,20.581250625418974,True,393,146,68
10.0,82.0,19.0,115.0,5400.0,3683.5017384009648,435,522,"[435, 436, 437, 438, 480, 522]",5,6,684.4176050443514,4775.212569212474,754.0757833948104,20.72669205591435,3.0,2.5,23.72669205591435,23.22669205591435,True,47,124,69
10.0,127.0,28.0,82.0,6000.0,5099.736348168634,603,348,"[603, 561, 519, 477, 435, 393, 351, 350, 349, 348]",9,10,657.6036035513754,7523.9099013546065,745.7672005342782,29.77820311090101,5.0,4.5,34.77820311090101,34.27820311090101,True,62,179,70
