time_seconds,left_plane,right_plane,kappa,feasible_count,maximum_distance_km,total_distance_km,matching_method
1320.0,2,3,42,44,1028.428150923104,30486.442604444925,cyclic_shift
1320.0,3,4,42,44,1028.3597805470802,30486.443458596863,cyclic_shift
1320.0,4,5,42,44,1028.2741349216087,30486.444473124615,cyclic_shift
1320.0,5,6,42,44,1028.1712157736063,30486.445613474698,cyclic_shift
1320.0,6,7,42,44,1028.0510251783776,30486.44684080977,cyclic_shift
1320.0,7,8,42,44,1027.9135655596292,30486.4481133316,cyclic_shift
1320.0,8,9,42,44,1027.7588396894769,30486.449387704837,cyclic_shift
1320.0,9,10,42,44,1027.586850688473,30486.450620533287,cyclic_shift
1320.0,10,11,42,44,1027.3976020255973,30486.45176983695,cyclic_shift
1320.0,11,12,42,44,1027.1910975183166,30486.45279648186,cyclic_shift
1320.0,12,13,42,44,1026.9673413325443,30486.453665511675,cyclic_shift
1320.0,13,14,42,44,1026.7263379827225,30486.454347337643,cyclic_shift
1320.0,14,15,42,44,1026.4680923318167,30486.454818745904,cyclic_shift
1320.0,15,16,42,44,1026.192609591338,30486.455063686564,cyclic_shift
1320.0,16,17,42,44,1026.1681814682381,30486.455073820372,cyclic_shift
1320.0,17,18,42,44,1026.4451422309437,30486.454848802423,cyclic_shift
1320.0,18,19,42,44,1026.704866367251,30486.4543962936,cyclic_shift
1320.0,19,20,42,44,1026.947348635757,30486.45373170016,cyclic_shift
1320.0,20,21,42,44,1027.1725841436005,30486.452877649404,cyclic_shift
1320.0,21,22,42,44,1027.3805683464545,30486.45186321991,cyclic_shift
1320.0,22,23,42,44,1027.571297048524,30486.4507229521,cyclic_shift
1320.0,23,24,42,44,1027.7447664024473,30486.449495672026,cyclic_shift
1320.0,24,25,42,44,1027.9009729093602,30486.44822317051,cyclic_shift
1320.0,25,26,42,44,1028.0399134188353,30486.446948780125,cyclic_shift
1320.0,26,27,42,44,1028.1615851288689,30486.44571589939,cyclic_shift
1320.0,27,28,42,44,1028.2659855858778,30486.44456651542,cyclic_shift
1320.0,28,29,42,44,1028.3531126846833,30486.443539773172,cyclic_shift
1320.0,29,30,42,44,1028.4229646684814,30486.442670641933,cyclic_shift
1320.0,30,31,42,44,1028.4755401288687,30486.441988724004,cyclic_shift
1320.0,31,32,42,44,1028.5108380058023,30486.44151724602,cyclic_shift
1320.0,32,33,42,44,1028.5288575876173,30486.441272267093,cyclic_shift
1320.0,33,0,31,44,1028.5295985110101,30486.441262131568,cyclic_shift
1440.0,0,1,42,44,1028.384191869039,30486.443158203216,cyclic_shift
1440.0,1,2,42,44,1028.3042321848395,30486.444123513764,cyclic_shift
1440.0,2,3,42,44,1028.206998371231,30486.445226553806,cyclic_shift
1440.0,3,4,42,44,1028.0924923888515,30486.446429756186,cyclic_shift
1440.0,4,5,42,44,1027.9607165467257,30486.44769214391,cyclic_shift
1440.0,5,6,42,44,1027.8116735022943,30486.448970726375,cyclic_shift
1440.0,6,7,42,44,1027.6453662614174,30486.45022196314,cyclic_shift
1440.0,7,8,42,44,1027.4617981783942,30486.451403247032,cyclic_shift
1440.0,8,9,42,44,1027.2609729559736,30486.45247435429,cyclic_shift
1440.0,9,10,42,44,1027.0428946453865,30486.453398814538,cyclic_shift
