time_seconds,edge_count,same_plane_edge_count,cross_plane_edge_count,average_degree,minimum_degree,maximum_degree,connected_component_count,largest_component_ratio,is_connected,unweighted_diameter,weighted_diameter_ms,diameter_method,selected_crosslink_shifts
3720.0,2992,1496,1496,4.0,4,4,1,1.0,True,34,102.99165588292789,largest_component_double_sweep_approximation,"[42, 42, 42, 42, 42, 42, 42, 42, 42, 42, 42, 42, 42, 42, 42, 42, 42, 42, 42, 42, 42, 42, 42, 42, 42, 42, 42, 42, 42, 42, 42, 42, 42, 31]"
3840.0,2992,1496,1496,4.0,4,4,1,1.0,True,34,102.95529877242053,largest_component_double_sweep_approximation,"[42, 42, 42, 42, 42, 42, 42, 42, 42, 42, 42, 42, 42, 42, 42, 42, 42, 42, 42, 42, 42, 42, 42, 42, 42, 42, 42, 42, 42, 42, 42, 42, 42, 31]"
3960.0,2992,1496,1496,4.0,4,4,1,1.0,True,34,102.58928074721821,largest_component_double_sweep_approximation,"[42, 42, 42, 42, 42, 42, 42, 42, 42, 42, 42, 42, 42, 42, 42, 42, 42, 42, 42, 42, 42, 42, 42, 42, 42, 42, 42, 42, 42, 42, 42, 42, 42, 31]"
4080.0,2992,1496,1496,4.0,4,4,1,1.0,True,34,102.50691520189842,largest_component_double_sweep_approximation,"[42, 42, 42, 42, 42, 42, 42, 42, 42, 42, 42, 42, 42, 42, 42, 42, 42, 42, 42, 42, 42, 42, 42, 42, 42, 42, 42, 42, 42, 42, 42, 42, 42, 31]"
4200.0,2992,1496,1496,4.0,4,4,1,1.0,True,34,102.80903051563004,largest_component_double_sweep_approximation,"[42, 42, 42, 42, 42, 42, 42, 42, 42, 42, 42, 42, 42, 42, 42, 42, 42, 42, 42, 42, 42, 42, 42, 42, 42, 42, 42, 42, 42, 42, 42, 42, 42, 31]"
4320.0,2992,1496,1496,4.0,4,4,1,1.0,True,34,103.01197109977016,largest_component_double_sweep_approximation,"[42, 42, 42, 42, 42, 42, 42, 42, 42, 42, 42, 42, 42, 42, 42, 42, 42, 42, 42, 42, 42, 42, 42, 42, 42, 42, 42, 42, 42, 42, 42, 42, 42, 31]"
4440.0,2992,1496,1496,4.0,4,4,1,1.0,True,34,102.77027573655816,largest_component_double_sweep_approximation,"[42, 42, 42, 42, 42, 42, 42, 42, 42, 42, 42, 42, 42, 42, 42, 42, 42, 42, 42, 42, 42, 42, 42, 42, 42, 42, 42, 42, 42, 42, 42, 42, 42, 31]"
4560.0,2992,1496,1496,4.0,4,4,1,1.0,True,34,102.53187891852814,largest_component_double_sweep_approximation,"[42, 42, 42, 42, 42, 42, 42, 42, 42, 42, 42, 42, 42, 42, 42, 42, 42, 42, 42, 42, 42, 42, 42, 42, 42, 42, 42, 42, 42, 42, 42, 42, 42, 31]"
4680.0,2992,1496,1496,4.0,4,4,1,1.0,True,34,102.68635912353703,largest_component_double_sweep_approximation,"[42, 42, 42, 42, 42, 42, 42, 42, 42, 42, 42, 42, 42, 42, 42, 42, 42, 42, 42, 42, 42, 42, 42, 42, 42, 42, 42, 42, 42, 42, 42, 42, 42, 31]"
4800.0,2992,1496,1496,4.0,4,4,1,1.0,True,34,102.99493723148098,largest_component_double_sweep_approximation,"[42, 42, 42, 42, 42, 42, 42, 42, 42, 42, 42, 42, 42, 42, 42, 42, 42, 42, 42, 42, 42, 42, 42, 42, 42, 42, 42, 42, 42, 42, 42, 42, 42, 31]"
4920.0,2992,1496,1496,4.0,4,4,1,1.0,True,34,103.26595244588631,largest_component_double_sweep_approximation,"[42, 42, 42, 42, 42, 42, 42, 42, 42, 42, 42, 42, 42, 42, 42, 42, 42, 42, 42, 42, 42, 42, 42, 42, 42, 42, 42, 42, 42, 42, 42, 42, 42, 31]"
5040.0,2992,1496,1496,4.0,4,4,1,1.0,True,34,102.4958678728295,largest_component_double_sweep_approximation,"[42, 42, 42, 42, 42, 42, 42, 42, 42, 42, 42, 42, 42, 42, 42, 42, 42, 42, 42, 42, 42, 42, 42, 42, 42, 42, 42, 42, 42, 42, 42, 42, 42, 31]"
5160.0,2992,1496,1496,4.0,4,4,1,1.0,True,34,102.78271046142716,largest_component_double_sweep_approximation,"[42, 42, 42, 42, 42, 42, 42, 42, 42, 42, 42, 42, 42, 42, 42, 42, 42, 42, 42, 42, 42, 42, 42, 42, 42, 42, 42, 42, 42, 42, 42, 42, 42, 31]"
5280.0,2992,1496,1496,4.0,4,4,1,1.0,True,34,102.61317354919377,largest_component_double_sweep_approximation,"[42, 42, 42, 42, 42, 42, 42, 42, 42, 42, 42, 42, 42, 42, 42, 42, 42, 42, 42, 42, 42, 42, 42, 42, 42, 42, 42, 42, 42, 42, 42, 42, 42, 31]"
5400.0,2992,1496,1496,4.0,4,4,1,1.0,True,34,102.99978032653235,largest_component_double_sweep_approximation,"[42, 42, 42, 42, 42, 42, 42, 42, 42, 42, 42, 42, 42, 42, 42, 42, 42, 42, 42, 42, 42, 42, 42, 42, 42, 42, 42, 42, 42, 42, 42, 42, 42, 31]"
5520.0,2992,1496,1496,4.0,4,4,1,1.0,True,34,103.20825227807472,largest_component_double_sweep_approximation,"[42, 42, 42, 42, 42, 42, 42, 42, 42, 42, 42, 42, 42, 42, 42, 42, 42, 42, 42, 42, 42, 42, 42, 42, 42, 42, 42, 42, 42, 42, 42, 42, 42, 31]"
5640.0,2992,1496,1496,4.0,4,4,1,1.0,True,34,102.84540311374045,largest_component_double_sweep_approximation,"[42, 42, 42, 42, 42, 42, 42, 42, 42, 42, 42, 42, 42, 42, 42, 42, 42, 42, 42, 42, 42, 42, 42, 42, 42, 42, 42, 42, 42, 42, 42, 42, 42, 31]"
