ground_index,latitude_deg,longitude_deg,minimum_visible_satellites,mean_visible_satellites,maximum_visible_satellites,mean_minimum_slant_distance_km
36,7.0,115.0,2,2.4166666666666665,4,611.0899905363427
37,7.0,118.0,2,2.4166666666666665,3,615.2351528382923
38,7.0,121.0,2,2.3333333333333335,3,613.5991865781076
39,7.0,124.0,2,2.5,3,612.1825674904334
40,7.0,127.0,2,2.5833333333333335,4,616.4319553300027
41,7.0,130.0,2,2.4166666666666665,4,622.8533587765854
42,7.0,133.0,2,2.3333333333333335,4,611.904580201148
43,7.0,135.0,2,2.4166666666666665,3,609.5085473586192
44,10.0,73.0,2,2.5833333333333335,4,607.3007790237433
45,10.0,76.0,2,2.5,4,618.1846301718753
46,10.0,79.0,2,2.3333333333333335,4,636.5959024102629
47,10.0,82.0,2,2.5,3,621.6097426828934
48,10.0,85.0,2,2.5,4,608.6463896805509
49,10.0,88.0,2,2.4166666666666665,4,614.4776906937734
50,10.0,91.0,2,2.4166666666666665,4,629.1373780987082
51,10.0,94.0,2,2.5,3,618.1709574239342
52,10.0,97.0,2,2.5833333333333335,4,616.4432758158581
53,10.0,100.0,2,2.4166666666666665,4,609.7500299652858
54,10.0,103.0,2,2.5833333333333335,4,620.8806607541504
55,10.0,106.0,2,2.5,3,634.5256224089883
56,10.0,109.0,2,2.5,4,613.5759730391587
57,10.0,112.0,2,2.4166666666666665,4,611.818537804059
58,10.0,115.0,2,2.6666666666666665,4,620.535353076952
59,10.0,118.0,2,2.3333333333333335,3,635.0825479381044
60,10.0,121.0,2,2.3333333333333335,4,611.0995177013533
61,10.0,124.0,2,2.3333333333333335,4,614.0724338051245
62,10.0,127.0,2,2.5,4,614.606354639599
63,10.0,130.0,2,2.1666666666666665,3,624.6656510752593
64,10.0,133.0,2,2.6666666666666665,4,629.4090782382019
65,10.0,135.0,2,2.5,4,613.8351258614795
66,13.0,73.0,2,2.75,3,590.235100975314
67,13.0,76.0,2,2.3333333333333335,4,605.567932978671
68,13.0,79.0,2,2.5,4,617.6614340812015
69,13.0,82.0,2,2.5833333333333335,4,606.1275675845167
70,13.0,85.0,2,2.75,3,592.4671564501401
71,13.0,88.0,2,2.4166666666666665,4,597.9670140987051
72,13.0,91.0,2,2.75,4,622.1341071652622
73,13.0,94.0,2,2.4166666666666665,3,611.0600994316039
74,13.0,97.0,2,2.75,4,603.1712824887894
75,13.0,100.0,2,2.5833333333333335,3,594.5037688471734
76,13.0,103.0,2,2.5833333333333335,4,612.2908891053569
77,13.0,106.0,2,2.4166666666666665,3,617.6286791789418
78,13.0,109.0,2,2.4166666666666665,4,596.7663864593172
79,13.0,112.0,2,2.75,3,594.7283739298192
80,13.0,115.0,2,2.4166666666666665,3,604.2023321958267
81,13.0,118.0,2,2.5833333333333335,4,623.2776249326984
82,13.0,121.0,2,2.3333333333333335,4,601.5159788469074
83,13.0,124.0,2,2.5,3,597.1468526714569
84,13.0,127.0,2,2.3333333333333335,3,602.3938779289341
85,13.0,130.0,2,2.4166666666666665,4,616.9965785680656
86,13.0,133.0,2,2.3333333333333335,4,614.5660512843575
87,13.0,135.0,2,2.5833333333333335,4,595.4054416298585
88,16.0,73.0,2,2.4166666666666665,3,601.7164621440689
89,16.0,76.0,2,2.8333333333333335,4,608.058711145729
90,16.0,79.0,2,2.4166666666666665,3,602.5425108417791
91,16.0,82.0,2,2.6666666666666665,4,604.3619468864081
92,16.0,85.0,2,2.5833333333333335,4,609.3295420990443
93,16.0,88.0,2,2.75,4,597.6318496648274
94,16.0,91.0,2,2.3333333333333335,3,608.4267594617037
95,16.0,94.0,2,2.6666666666666665,4,607.3793336255661
96,16.0,97.0,2,2.6666666666666665,4,604.2248262360246
97,16.0,100.0,2,2.75,4,601.7655066095184
98,16.0,103.0,2,2.5833333333333335,4,613.5425599312895
99,16.0,106.0,2,2.5833333333333335,4,601.6506382700228
100,16.0,109.0,2,2.5833333333333335,4,605.131279442794
101,16.0,112.0,2,2.5833333333333335,3,609.674864162498
102,16.0,115.0,2,2.5,4,601.012188396172
103,16.0,118.0,2,2.4166666666666665,3,607.2428216941722
104,16.0,121.0,2,2.5833333333333335,4,605.9801827371572
105,16.0,124.0,2,2.4166666666666665,3,601.2010343966941
106,16.0,127.0,2,2.5833333333333335,4,603.4869719208006
107,16.0,130.0,2,2.6666666666666665,4,613.0185082068783
108,16.0,133.0,2,2.6666666666666665,4,600.7504149955822
109,16.0,135.0,2,2.5,4,599.5763993391939
110,19.0,73.0,2,2.5833333333333335,3,606.7974681747777
111,19.0,76.0,2,2.4166666666666665,3,599.511374522656
112,19.0,79.0,2,2.9166666666666665,4,610.7822286856314
113,19.0,82.0,2,2.6666666666666665,4,607.1159585729425
114,19.0,85.0,2,2.5833333333333335,3,601.6687332687596
115,19.0,88.0,2,2.6666666666666665,3,605.9479958074548
116,19.0,91.0,2,2.9166666666666665,4,601.6968130705073
117,19.0,94.0,2,2.6666666666666665,3,603.7520919632283
118,19.0,97.0,2,2.5,3,601.8297870601452
119,19.0,100.0,2,2.5,3,604.2090833421253
120,19.0,103.0,2,2.75,4,598.4638525787024
121,19.0,106.0,2,3.0,4,607.7725711680199
122,19.0,109.0,2,2.5833333333333335,3,606.4660404735397
123,19.0,112.0,2,2.5,3,602.2801170919996
124,19.0,115.0,2,2.5833333333333335,4,611.1338298236417
125,19.0,118.0,2,2.9166666666666665,4,603.1346352826956
126,19.0,121.0,2,2.4166666666666665,3,600.8652179362888
127,19.0,124.0,2,2.5833333333333335,3,603.507137714707
128,19.0,127.0,2,2.5,3,602.5322550260727
129,19.0,130.0,2,3.0,5,600.0542514994507
130,19.0,133.0,2,2.5833333333333335,4,604.7752067606607
131,19.0,135.0,2,2.6666666666666665,3,607.4584717851567
132,22.0,73.0,2,2.6666666666666665,3,615.9962644226374
133,22.0,76.0,2,2.75,4,605.4338454991716
134,22.0,79.0,2,2.6666666666666665,4,604.5817151355286
135,22.0,82.0,2,3.0,4,604.4003485383217
136,22.0,85.0,2,2.6666666666666665,4,612.0086202425805
137,22.0,88.0,2,2.6666666666666665,3,612.1486929627337
138,22.0,91.0,2,2.5833333333333335,4,604.487141124058
139,22.0,94.0,2,2.75,4,612.985535441874
140,22.0,97.0,2,2.9166666666666665,4,613.9867210660376
141,22.0,100.0,2,2.6666666666666665,3,617.8350022722103
142,22.0,103.0,2,2.75,5,606.110226247756
143,22.0,106.0,2,2.75,4,603.6196026421504
144,22.0,109.0,2,2.8333333333333335,4,608.6850535564807
145,22.0,112.0,2,2.5,3,608.2895386859401
146,22.0,115.0,2,2.8333333333333335,5,611.3492551705268
147,22.0,118.0,2,2.6666666666666665,4,601.6205584181536
148,22.0,121.0,2,2.8333333333333335,5,612.95103400023
149,22.0,124.0,2,2.4166666666666665,3,614.2524510525876
150,22.0,127.0,2,2.8333333333333335,4,614.5087954001107
151,22.0,130.0,2,2.75,4,607.2979844173816
152,22.0,133.0,2,2.75,5,605.8613062235335
153,22.0,135.0,2,3.0,4,614.619228634102
154,25.0,73.0,2,3.3333333333333335,5,632.3607111389385
155,25.0,76.0,2,2.8333333333333335,5,623.3635805282357
156,25.0,79.0,2,2.6666666666666665,4,620.6187737825691
157,25.0,82.0,2,2.75,4,625.6204021113407
158,25.0,85.0,2,3.25,6,634.6955404093292
159,25.0,88.0,2,2.9166666666666665,5,625.4932919012853
160,25.0,91.0,2,2.5833333333333335,4,616.0351845961866
161,25.0,94.0,2,2.8333333333333335,4,622.6346995138402
162,25.0,97.0,2,3.0,6,625.09621194656
163,25.0,100.0,2,3.0833333333333335,5,627.8738627563845
164,25.0,103.0,2,2.5833333333333335,4,619.8757171131186
165,25.0,106.0,2,2.6666666666666665,4,617.8479866109435
166,25.0,109.0,2,3.0833333333333335,6,631.9906058025621
167,25.0,112.0,2,3.3333333333333335,5,633.6022790469009
168,25.0,115.0,2,2.6666666666666665,4,624.6762972202661
169,25.0,118.0,2,2.5833333333333335,4,615.971503436448
170,25.0,121.0,2,3.0,4,627.4173567109539
171,25.0,124.0,2,3.0833333333333335,5,625.3289074547428
172,25.0,127.0,2,2.9166666666666665,5,622.2521341452845
173,25.0,130.0,2,2.75,4,619.830759456968
174,25.0,133.0,2,2.5833333333333335,4,616.2032413680678
175,25.0,135.0,2,2.9166666666666665,5,628.0265114112672
176,28.0,73.0,2,3.3333333333333335,5,627.7278582545305
177,28.0,76.0,2,3.0,5,606.1417112315881
178,28.0,79.0,2,2.8333333333333335,4,605.2218740931335
179,28.0,82.0,2,2.9166666666666665,4,606.3928266948018
180,28.0,85.0,2,3.3333333333333335,5,620.5778644906039
181,28.0,88.0,2,3.3333333333333335,5,618.8177024325977
182,28.0,91.0,2,2.75,4,603.7299931018515
183,28.0,94.0,2,2.9166666666666665,4,613.1359683673463
184,28.0,97.0,2,3.3333333333333335,5,622.0622283924779
185,28.0,100.0,2,3.5,5,625.3544554424088
186,28.0,103.0,2,2.9166666666666665,5,606.1648237547763
187,28.0,106.0,2,2.75,4,605.0046090890064
188,28.0,109.0,2,3.0,4,614.2287861146575
189,28.0,112.0,2,3.25,5,617.0327868567548
190,28.0,115.0,2,3.0833333333333335,5,615.4699791456434
191,28.0,118.0,2,2.5833333333333335,4,601.2778813453327
192,28.0,121.0,2,2.9166666666666665,5,614.0735424924974
193,28.0,124.0,2,3.25,5,624.3750546975031
194,28.0,127.0,2,2.9166666666666665,4,617.9886316877825
195,28.0,130.0,2,2.6666666666666665,4,605.2246898977074
196,28.0,133.0,2,2.9166666666666665,5,607.3503427653364
197,28.0,135.0,2,3.1666666666666665,4,621.1416689223007
198,31.0,73.0,2,3.3333333333333335,5,612.9271726586674
199,31.0,76.0,2,3.0833333333333335,4,598.1067867042331
200,31.0,79.0,3,3.4166666666666665,5,596.6412947721223
201,31.0,82.0,2,3.0833333333333335,4,601.3251659016883
202,31.0,85.0,2,3.3333333333333335,5,608.2871950930211
203,31.0,88.0,2,3.0,4,604.8703885515637
204,31.0,91.0,2,3.3333333333333335,5,590.9434374536191
205,31.0,94.0,2,3.3333333333333335,4,599.211343098728
206,31.0,97.0,2,3.25,5,602.0977685144871
207,31.0,100.0,2,3.1666666666666665,4,607.6462482443889
208,31.0,103.0,2,3.1666666666666665,4,594.0492353461216
209,31.0,106.0,2,3.3333333333333335,5,594.4021767561952
210,31.0,109.0,2,3.25,5,606.106561450648
211,31.0,112.0,2,3.4166666666666665,5,608.6157840009029
212,31.0,115.0,2,3.1666666666666665,4,603.3569197041876
213,31.0,118.0,2,3.25,5,590.2577600580904
214,31.0,121.0,2,3.3333333333333335,4,601.4732130802741
215,31.0,124.0,2,3.25,5,606.2909604197444
216,31.0,127.0,2,3.0833333333333335,4,599.4306210265856
217,31.0,130.0,2,3.25,4,593.1561281427001
218,31.0,133.0,2,3.1666666666666665,4,594.0681782088424
219,31.0,135.0,2,3.3333333333333335,5,607.8635743741203
220,34.0,73.0,2,3.5,5,601.5002805689941
221,34.0,76.0,2,3.25,5,591.8792797260263
222,34.0,79.0,3,3.6666666666666665,5,588.4859705118853
223,34.0,82.0,3,3.5,5,591.1973986086641
224,34.0,85.0,2,3.4166666666666665,5,597.657746891427
225,34.0,88.0,2,3.5,5,596.5520035620792
226,34.0,91.0,2,3.5833333333333335,5,586.7127945897894
227,34.0,94.0,3,3.75,5,596.7844353315728
228,34.0,97.0,2,3.25,5,596.7499252299052
229,34.0,100.0,2,3.5833333333333335,5,601.22556043462
230,34.0,103.0,2,3.5833333333333335,5,588.917687963283
231,34.0,106.0,3,3.8333333333333335,5,588.0531815543279
232,34.0,109.0,2,3.4166666666666665,5,595.3835611801989
233,34.0,112.0,2,3.3333333333333335,5,596.5805991977012
234,34.0,115.0,3,3.6666666666666665,5,595.1504861964994
235,34.0,118.0,3,3.75,5,584.6808540181395
236,34.0,121.0,2,3.5,5,596.5188765904824
237,34.0,124.0,2,3.5833333333333335,5,599.4218872034957
238,34.0,127.0,2,3.5,5,595.988937050541
239,34.0,130.0,3,3.5833333333333335,5,589.5189473321802
240,34.0,133.0,2,3.4166666666666665,5,588.2957796502823
241,34.0,135.0,2,3.5,5,598.3061612500919
242,37.0,73.0,2,3.8333333333333335,5,592.6779168239849
243,37.0,76.0,3,3.9166666666666665,6,587.1246946814446
244,37.0,79.0,3,4.0,5,586.9256854361194
245,37.0,82.0,3,4.0,5,588.5516483251
246,37.0,85.0,2,4.0,5,590.6703312623871
247,37.0,88.0,2,3.9166666666666665,6,590.2135522366605
248,37.0,91.0,3,3.9166666666666665,5,583.3448882011893
249,37.0,94.0,3,3.9166666666666665,5,590.7451964734825
250,37.0,97.0,2,3.8333333333333335,6,588.3122296804822
251,37.0,100.0,2,3.8333333333333335,5,592.9350712316594
252,37.0,103.0,3,4.0,5,584.4803982393574
253,37.0,106.0,3,3.75,5,584.9095775507207
254,37.0,109.0,2,3.9166666666666665,6,591.4067572616868
255,37.0,112.0,2,3.5833333333333335,5,590.5040663157049
256,37.0,115.0,3,4.166666666666667,6,590.8941739678331
257,37.0,118.0,3,3.9166666666666665,5,581.9315958302861
258,37.0,121.0,3,4.083333333333333,6,590.9123577459599
259,37.0,124.0,2,3.6666666666666665,6,590.229585371465
260,37.0,127.0,3,4.0,6,588.4954803282441
261,37.0,130.0,3,3.9166666666666665,5,586.054516154751
262,37.0,133.0,3,4.083333333333333,6,583.5014921855022
263,37.0,135.0,2,4.083333333333333,6,592.1043221384392
264,40.0,73.0,3,4.166666666666667,5,584.2183515802736
265,40.0,76.0,3,4.5,6,577.8838173342846
266,40.0,79.0,3,4.583333333333333,6,580.1907180048559
267,40.0,82.0,3,4.25,6,579.2930760013045
268,40.0,85.0,3,4.25,6,580.533929157532
269,40.0,88.0,3,4.333333333333333,6,586.0330492050714
270,40.0,91.0,3,4.5,6,577.3371150954187
271,40.0,94.0,4,4.583333333333333,6,581.9800951766773
272,40.0,97.0,3,4.333333333333333,6,580.9250998176755
273,40.0,100.0,3,4.25,6,586.6014607983103
274,40.0,103.0,3,4.583333333333333,6,577.3439201004454
275,40.0,106.0,4,4.5,6,581.2084539143924
276,40.0,109.0,4,4.333333333333333,6,580.139531073392
277,40.0,112.0,3,4.083333333333333,6,582.7826944178217
278,40.0,115.0,4,4.5,6,581.6559626037399
279,40.0,118.0,4,4.75,6,577.9753406592639
280,40.0,121.0,3,4.5,6,579.8953209992693
281,40.0,124.0,3,4.083333333333333,5,584.7221322042136
282,40.0,127.0,4,4.5,6,580.960490572318
283,40.0,130.0,4,4.75,6,576.5624528598084
284,40.0,133.0,3,4.583333333333333,6,580.035597389257
285,40.0,135.0,3,4.416666666666667,6,582.5451380323107
286,43.0,73.0,4,5.166666666666667,7,575.4492393347826
287,43.0,76.0,4,5.333333333333333,7,577.1419157130881
288,43.0,79.0,4,5.166666666666667,6,575.6537821241159
289,43.0,82.0,4,5.5,7,576.5527502765032
290,43.0,85.0,4,5.25,7,579.6329957648459
291,43.0,88.0,4,5.333333333333333,7,573.399292887456
292,43.0,91.0,4,5.25,7,578.5727685427952
293,43.0,94.0,4,5.5,7,575.5016558065745
294,43.0,97.0,4,5.416666666666667,7,579.8285496457207
295,43.0,100.0,4,5.25,7,575.0638330408907
296,43.0,103.0,5,5.583333333333333,7,579.3810096467622
297,43.0,106.0,5,5.5,7,575.8274276962806
298,43.0,109.0,5,5.666666666666667,7,577.9696808141089
299,43.0,112.0,4,5.416666666666667,7,579.9629877734209
300,43.0,115.0,5,5.75,7,575.4786181836956
301,43.0,118.0,5,5.416666666666667,7,576.9939188175176
302,43.0,121.0,4,5.5,7,574.8692092738723
303,43.0,124.0,3,5.0,7,577.1842314170518
304,43.0,127.0,4,5.583333333333333,7,576.1409079118213
305,43.0,130.0,5,5.333333333333333,6,578.0686650203728
