plane_index,satellite_index,inclination_deg,raan_deg,initial_argument_of_latitude_deg,phase_factor,altitude_km
2,10,50.331343634531606,21.594136750965014,93.51307503004668,28,550.0
2,11,50.331343634531606,21.594136750965014,101.33916198656839,28,550.0
2,12,50.331343634531606,21.594136750965014,109.16524894309015,28,550.0
2,13,50.331343634531606,21.594136750965014,116.99133589961188,28,550.0
2,14,50.331343634531606,21.594136750965014,124.81742285613362,28,550.0
2,15,50.331343634531606,21.594136750965014,132.64350981265537,28,550.0
2,16,50.331343634531606,21.594136750965014,140.4695967691771,28,550.0
2,17,50.331343634531606,21.594136750965014,148.29568372569886,28,550.0
2,18,50.331343634531606,21.594136750965014,156.12177068222056,28,550.0
2,19,50.331343634531606,21.594136750965014,163.9478576387423,28,550.0
2,20,50.331343634531606,21.594136750965014,171.77394459526406,28,550.0
2,21,50.331343634531606,21.594136750965014,179.6000315517858,28,550.0
2,22,50.331343634531606,21.594136750965014,187.4261185083075,28,550.0
2,23,50.331343634531606,21.594136750965014,195.25220546482927,28,550.0
2,24,50.331343634531606,21.594136750965014,203.078292421351,28,550.0
2,25,50.331343634531606,21.594136750965014,210.90437937787277,28,550.0
2,26,50.331343634531606,21.594136750965014,218.7304663343945,28,550.0
2,27,50.331343634531606,21.594136750965014,226.5565532909162,28,550.0
2,28,50.331343634531606,21.594136750965014,234.38264024743796,28,550.0
2,29,50.331343634531606,21.594136750965014,242.20872720395968,28,550.0
2,30,50.331343634531606,21.594136750965014,250.03481416048146,28,550.0
2,31,50.331343634531606,21.594136750965014,257.86090111700315,28,550.0
2,32,50.331343634531606,21.594136750965014,265.6869880735249,28,550.0
2,33,50.331343634531606,21.594136750965014,273.5130750300467,28,550.0
2,34,50.331343634531606,21.594136750965014,281.33916198656846,28,550.0
2,35,50.331343634531606,21.594136750965014,289.16524894309015,28,550.0
2,36,50.331343634531606,21.594136750965014,296.99133589961184,28,550.0
2,37,50.331343634531606,21.594136750965014,304.81742285613365,28,550.0
2,38,50.331343634531606,21.594136750965014,312.64350981265534,28,550.0
2,39,50.331343634531606,21.594136750965014,320.4695967691771,28,550.0
2,40,50.331343634531606,21.594136750965014,328.29568372569884,28,550.0
2,41,50.331343634531606,21.594136750965014,336.1217706822206,28,550.0
